"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","huétsa",,,,"PAN1(484)","lauriout_diccionario_1993",""
"mZ","pói",,,,"PAN1(484)","lauriout_diccionario_1993",""
"meB","jóchi",,,,"PAN1(484)","lauriout_diccionario_1993",""
"myB","chío",,,,"PAN1(484)","lauriout_diccionario_1993",""
"meZ","chípi",,,,"PAN1(484)","lauriout_diccionario_1993",""
"myZ","chío",,,,"PAN1(484)","lauriout_diccionario_1993",""
"mF","pápa",,,,"PAN1(505)","lauriout_diccionario_1993",""
"mM","títa",,,,"PAN1(494)","lauriout_diccionario_1993",""
"mS","báque",,,,"PAN1(485)","lauriout_diccionario_1993",""
"mD","báque",,,,"PAN1(485)","lauriout_diccionario_1993",""
"mA","requén",,,,"PAN1(445)","lauriout_diccionario_1993",""
"mA","requén",,,,"PAN1(445)","lauriout_diccionario_1993",""
"mFF","papayósi",,,,"PAN1(439)","lauriout_diccionario_1993",""
"mFM","títayoshan",,,,"PAN1(439)","lauriout_diccionario_1993",""
"mMF","yósishoco",,,,"PAN1(439)","lauriout_diccionario_1993",""
"mMM","títayoshan",,,,"PAN1(439)","lauriout_diccionario_1993",""
"mMM","chíchi",,,,"PAN1(439)","lauriout_diccionario_1993",""
"mSS","choré baba",,,,"PAN1(502)","lauriout_diccionario_1993",""
"mSD","choré baba",,,,"PAN1(502)","lauriout_diccionario_1993",""
"mDS","choré baba",,,,"PAN1(502)","lauriout_diccionario_1993",""
"mDD","choré baba",,,,"PAN1(502)","lauriout_diccionario_1993",""
"mFB","épa",,,,"PAN1(484)","lauriout_diccionario_1993",""
"mFZ","náchi",,,,"PAN1(530)","lauriout_diccionario_1993",""
"mMB","cóca",,,,"PAN1(484)","lauriout_diccionario_1993",""
"mMZ","huáata",,,,"PAN1(530)","lauriout_diccionario_1993",""
"mBS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZS","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZD","chíobaque",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZS","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZD","nósha",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZS","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meZD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myZD","pía",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBS","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mBD","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZS","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"mZD","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBS","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBS","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"meBD","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
"myBD","piaca",,,,"PAN1(526)","lauriout_diccionario_1993",""
