"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","'aco",,"male speaker's older brother",,,,
"myB","nucu",,"male speaker's younger brother",,,,
"feB","'aco",,"female speaker's older brother",,,,
"fyB","nucu",,"female speaker's younger brother",,,,
"meZ","'azhi",,"male speaker's older sister",,,,
"myZ","sim, num",,"male speaker's younger sister",,,,
"feZ","'azhi",,"female speaker's older sister",,,,
"fyZ","sim, num",,"female speaker's younger sister",,,,
"mF","'apa",,"male speaker's father",,,,
"mM","'ama",,"male speaker's mother",,,,
"fF","'apa",,"female speaker's father",,,,
"fM","'ama",,"female speaker's mother",,,,
"mS","b‘u",,"male speaker's son",,,,
"fS","b‘u",,"female speaker's son",,,,
"mD","b‘um",,"male speaker's daughter",,,,
"fD","b‘um",,"female speaker's daughter",,,,
"mSS","d’apchu, tshô",,"male speaker's son's son",,,,
"mSD","d’eb’um, tsham",,"male speaker's son's daughter",,,,
"mDS","d’apchu, tshô",,"male speaker's daughter's son",,,,
"mDD","d’eb’um, tsham",,"male speaker's daughter's daughter",,,,
"fSS","d’apchu, tshô",,"female speaker's son's son",,,,
"fSD","d’eb’um, tsham",,"female speaker's son's daughter",,,,
"fDS","d’apchu, tshô",,"female speaker's daughter's son",,,,
"fDD","d’eb’um, tsham",,"female speaker's daugher's daughter",,,,
"mFF","'age",,"male speaker's father‘s father",,,,
"mFM","'angge",,"male speaker's father's mother",,,,
"mMF","'age",,"male speaker's mother's father",,,,
"mMM","'angge",,"male speaker's mother's mother",,,,
"fFF","'age",,"female speaker's father's father",,,,
"fFM","'angge",,"female speaker's father's mother",,,,
"fMF","'age",,"female speaker's mother's father",,,,
"fMM","'angge",,"female speaker's mother's mother",,,,
"meBS","tshô",,"male speaker's older brother's son",,,,
"myBS","tshô",,"male speaker's younger brother's son",,,,
"meZS","tshô",,"male speaker's older sister's son",,,,
"myZS","tshô",,"male speaker's younger sister's son",,,,
"meBD","tshô",,"male speaker's older brother's daughter",,,,
"myBD","tshô",,"male speaker's younger brother's daughter",,,,
"meZD","tsham",,"male speaker's older sister's daughter",,,,
"myZD","tsham",,"male speaker's younger sister's daughter",,,,
"feBS","tshô",,"female speaker's older brother's son",,,,
"fyBS","tshô",,"female speaker's younger brother's son",,,,
"feZS","tshô",,"female speaker's older sister's son",,,,
"fyZS","tshô",,"female speaker's younger sister's son",,,,
"feBD","tshô",,"female speaker's older brother's daughter",,,,
"fyBD","tshô",,"female speaker's younger brother's daughter",,,,
"feZD","tsham",,"female speaker's older sister's daughter",,,,
"fyZD","tsham",,"female speaker's younger sister's daughter",,,,
"mFeB","'akhu",,"male speaker's father's older brother",,,,
"mFyB","'akhu",,"male speaker's father's younger brother",,,,
"mFeZ","'ani",,"male speaker's father's older sister",,,,
"mFyZ","'ani",,"male speaker's father's younger sister",,,,
"mMeB","'azha",,"male speaker's mother's older brother",,,,
"mMyB","'azha",,"male speaker's mother's younger brother",,,,
"mMeZ","'amcu",,"male speaker's mother's older sister",,,,
"mMyZ","'amcu",,"male speaker's mother's younger sister",,,,
"fFeB","'akhu",,"female speaker's father's older brother",,,,
"fFyB","'akhu",,"female speaker's father's younger brother",,,,
"fFeZ","'ani",,"female speaker's father's older sister",,,,
"fFyZ","'ani",,"female speaker's father's younger sister",,,,
"fMeB","'azha",,"female speaker's mother's older brother",,,,
"fMyB","'azha",,"female speaker's mother's younger brother",,,,
"fMeZ","'amcu",,"female speaker's mother's older sister",,,,
"fMyZ","'amcu",,"female speaker's mother's younger sister",,,,
"mW","'amtshu",,"speaker's wife",,,,
"fH","'map",,"speaker‘s husband",,,,
"fDH","'map",,"female speaker's daughter's husband",,,,
"mDH","'map",,"male speaker's daughter's husband",,,,
"fSW","'nam",,"female speaker's son's wife",,,,
"mSW","'nam",,"male speaker's son's wife",,,,
"fHM","'ama",,"speaker's husband's mother",,,,
"mWM","'ama",,"speaker's wife's mother",,,,
"fHF","'apa",,"speaker's husband's father",,,,
"mWF","'apa",,"speaker's wife's father",,,,
"mFBeS","'aco",,"male speaker‘s father‘s brother‘s older son",,,,
"mFByS","nucu",,"male speaker‘s father‘s brother‘s younger son",,,,
"mFBeD","'azhi",,"male speaker‘s father‘s brother‘s older daughter",,,,
"mFByD","sim, num",,"male speaker‘s father‘s brother‘s younger daughter",,,,
"mFZeS","'aco",,"male speaker‘s father‘s sisters‘s older son",,,,
"mFZeD","'azhi",,"male speaker‘s father‘s sisters‘s older daughter",,,,
"mFZyD","sim, num",,"male speaker‘s father‘s sisters‘s younger daughter",,,,
"mMBeD","'azhi",,"male speaker‘s mother‘s brother‘s older daughter",,,,
"mMByD","sim, num",,"male speaker‘s mother‘s brother‘s younger daughter",,,,
"mMZeS","'aco",,"male speaker‘s mother‘s sisters‘s older son",,,,
"mMZyS","nucu",,"male speaker‘s mother‘s sisters‘s younger son",,,,
"mMZeD","'azhi",,"male speaker‘s mother‘s sisters‘s older daughter",,,,
"fFBeS","'aco",,"female speaker‘s father‘s brother‘s older son",,,,
"fFByS","nucu",,"female speaker‘s father‘s brother‘s younger son",,,,
"fFBeD","'azhi",,"female speaker‘s father‘s brother‘s older daughter",,,,
"fFByD","sim, num",,"female speaker‘s father‘s brother‘s younger daughter",,,,
"fFZeS","'aco",,"female speaker‘s father‘s sisters‘s older son",,,,
"fFZeD","'azhi",,"female speaker‘s father‘s sisters‘s older daughter",,,,
"fFZyD","sim, num",,"female speaker‘s father‘s sisters‘s younger daughter",,,,
"fMBeD","'azhi",,"female speaker‘s mother‘s brother‘s older daughter",,,,
"fMByD","sim, num",,"female speaker‘s mother‘s brother‘s younger daughter",,,,
"fMZeS","'aco",,"female speaker‘s mother‘s sisters‘s older son",,,,
"fMZyS","nucu",,"female speaker‘s mother‘s sisters‘s younger son",,,,
"fMZeD","'azhi",,"female speaker‘s mother‘s sisters‘s older daughter",,,,
