"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","phôgem, 'au",,"male speaker's older brother",,,,
"myB","nucu",,"male speaker's younger brother",,,,
"feB","phôgem, 'au, küp",,"female speaker's older brother",,,,
"fyB","nucu",,"female speaker's younger brother",,,,
"meZ","'azhim",,"male speaker's older sister",,,,
"myZ","sim, num",,"male speaker's younger sister",,,,
"feZ","'azhim",,"female speaker's older sister",,,,
"fyZ","sim, num",,"female speaker's younger sister",,,,
"mF","'apa",,"male speaker's father",,,,
"mM","'ai",,"male speaker's mother",,,,
"fF","'apa",,"female speaker's father",,,,
"fM","'ai",,"female speaker's mother",,,,
"mS","b‘u",,"male speaker's son",,,,
"fS","b‘u",,"female speaker's son",,,,
"mD","b‘um",,"male speaker's daughter",,,,
"fD","b‘um",,"female speaker's daughter",,,,
"mSS","tshô, bugi b’u, b’umi b’u",,"male speaker's son's son",,,,
"mSD","tsham, b’umi b’um, b’ugi b’um",,"male speaker's son's daughter",,,,
"mDS","tshô, bugi b’u, b’umi b’u",,"male speaker's daughter's son",,,,
"mDD","tsham, b’umi b’um, b’ugi b’um",,"male speaker's daughter's daughter",,,,
"fSS","tshô, bugi b’u, b’umi b’u",,"female speaker's son's son",,,,
"fSD","tsham, b’umi b’um, b’ugi b’um",,"female speaker's son's daughter",,,,
"fDS","tshô, bugi b’u, b’umi b’u",,"female speaker's daughter's son",,,,
"fDD","tsham, b’umi b’um, b’ugi b’um",,"female speaker's daugher's daughter",,,,
"mFF","'age",,"male speaker's father‘s father",,,,
"mFM","'angge",,"male speaker's father's mother",,,,
"mMF","'age",,"male speaker's mother's father",,,,
"mMM","'angge",,"male speaker's mother's mother",,,,
"fFF","'age",,"female speaker's father's father",,,,
"fFM","'angge",,"female speaker's father's mother",,,,
"fMF","'age",,"female speaker's mother's father",,,,
"fMM","'angge",,"female speaker's mother's mother",,,,
"meBS","tshô",,"male speaker's older brother's son",,,,
"myBS","tshô",,"male speaker's younger brother's son",,,,
"meZS","tshô",,"male speaker's older sister's son",,,,
"myZS","tshô",,"male speaker's younger sister's son",,,,
"meBD","tshô",,"male speaker's older brother's daughter",,,,
"myBD","tshô",,"male speaker's younger brother's daughter",,,,
"meZD","tsham",,"male speaker's older sister's daughter",,,,
"myZD","tsham",,"male speaker's younger sister's daughter",,,,
"feBS","tshô",,"female speaker's older brother's son",,,,
"fyBS","tshô",,"female speaker's younger brother's son",,,,
"feZS","tshô",,"female speaker's older sister's son",,,,
"fyZS","tshô",,"female speaker's younger sister's son",,,,
"feBD","tshô",,"female speaker's older brother's daughter",,,,
"fyBD","tshô",,"female speaker's younger brother's daughter",,,,
"feZD","tsham",,"female speaker's older sister's daughter",,,,
"fyZD","tsham",,"female speaker's younger sister's daughter",,,,
"mFeB","'aku",,"male speaker's father's older brother",,,,
"mFyB","'aku",,"male speaker's father's younger brother",,,,
"mFeZ","'amcu",,"male speaker's father's older sister",,,,
"mFyZ","'amcu",,"male speaker's father's younger sister",,,,
"mMeB","'azha",,"male speaker's mother's older brother",,,,
"mMyB","'azha",,"male speaker's mother's younger brother",,,,
