"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","hpu","phù","male ego's older brother",,,"KurabePC",
"myB","nau","naw","male ego's younger brother",,,"KurabePC",
"feB","hpu","phù","female ego's older brother",,,"KurabePC",
"fyB","nau","naw","female ego's younger brother",,,"KurabePC",
"meZ","na","naw","male ego's older sister",,,"KurabePC",
"myZ","nau","naw","male ego's younger sister",,,"KurabePC",
"feZ","na","naw","female ego's older sister",,,"KurabePC",
"fyZ","nau","naw","female ego's younger sister",,,"KurabePC",
"mF","wa","wà","male ego's father",,,"KurabePC",
"mM","nu","nù","male ego's mother",,,"KurabePC",
"fF","wa","wà","female ego's father",,,"KurabePC",
"fM","nu","nù","female ego's mother",,,"KurabePC",
"mS","sha","ɕà","male ego's son",,,"KurabePC",
"fS","nam","nam","female ego's son",,,"KurabePC",
"mD","sha","ɕà","male ego's daughter",,,"KurabePC",
"fD","nam","nam","female ego's daughter",,,"KurabePC",
"mSS","shu","ɕù","male ego's son's son",,,"KurabePC",
"mSD","shu","ɕù","male ego's son's daughter",,,"KurabePC",
"mDS","shu","ɕù","male ego's daughter's son",,,"KurabePC",
"mDD","shu","ɕù","male ego's daughter's daughter",,,"KurabePC",
"fSS","nam","nam","female ego's son's son",,,"KurabePC",
"fSD","nam","nam","female ego's son's daughter",,,"KurabePC",
"fDS","nam","nam","female ego's daughter's son",,,"KurabePC",
"fDD","nam","nam","female ego's daugher's daughter",,,"KurabePC",
"mFF","ji","ji","male ego's father‘s father",,,"KurabePC",
"mMM","moi","moy","male ego's mother's mother",,,"KurabePC",
"fFF","ji","ji","female ego's father's father",,,"KurabePC",
"fMM","moi","","female ego's mother's mother",,,"KurabePC",
