parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,aba,,male ego's father,,,,
fF,aba,,female ego's father,,,,
mS,zo,,male ego's son,,,,
fS,zo,,female ego's son,,,,
mFM,ane,,male ego's father's mother,,,,
mMM,ane,,male ego's mother's mother,,,,
fFM,ane,,female ego's father's mother,,,,
fMM,ane,,female ego's mother's mother,,,,
meB,avi,,male ego's older brother,,,,
feB,avi,,female ego's older brother,,,,
mWB,avi,,male ego's wife's brother,,,,
fHB,avi,,female ego's husband's brother,,,,
mZH,avi,,male ego's sister's husband,,,,
fZH,avi,,female ego's sister's husband,,,,
mFBeS,avi,,male ego‘s father‘s brother‘s older son,,,,
mFZeS,avi,,male ego‘s father‘s sisters‘s older son,,,,
mMBeS,avi,,male ego‘s mother‘s brother‘s older son,,,,
mMZeS,avi,,male ego‘s mother‘s sisters‘s older son,,,,
fFBeS,avi,,female ego‘s father‘s brother‘s older son,,,,
fFZeS,avi,,female ego‘s father‘s sisters‘s older son,,,,
fMBeS,avi,,female ego‘s mother‘s brother‘s older son,,,,
fMZeS,avi,,female ego‘s mother‘s sisters‘s older son,,,,
mM,amo,,male ego's mother,,,,
fM,amo,,female ego's mother,,,,
mFeZ,animo,,male ego's father's older sister,,,,
mFyZ,animo,,male ego's father's younger sister,,,,
fFeZ,animo,,female ego's father's older sister,,,,
fFyZ,animo,,female ego's father's younger sister,,,,
mFF,apo,,male ego's father‘s father,,,,
mMF,apo,,male ego's mother's father,,,,
fFF,apo,,female ego's father's father,,,,
fMF,apo,,female ego's mother's father,,,,
meZ,adzj,,male ego's older sister,,,,
feZ,adzj,,female ego's older sister,,,,
mFBeD,adzj,,male ego‘s father‘s brother‘s older daughter,,,,
mFZeD,adzj,,male ego‘s father‘s sisters‘s older daughter,,,,
mMBeD,adzj,,male ego‘s mother‘s brother‘s older daughter,,,,
mMZeD,adzj,,male ego‘s mother‘s sisters‘s older daughter,,,,
fFBeD,adzj,,female ego‘s father‘s brother‘s older daughter,,,,
fFZeD,adzj,,female ego‘s father‘s sisters‘s older daughter,,,,
fMBeD,adzj,,female ego‘s mother‘s brother‘s older daughter,,,,
fMZeD,adzj,,female ego‘s mother‘s sisters‘s older daughter,,,,
mMeB,"ale, avɯ",,male ego's mother's older brother,,,,
mMyB,"ale, avɯ",,male ego's mother's younger brother,,,,
