Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,xiong di,,male speaker's brother,,,,兄弟
mZ,jie mei,,male speaker's sister,,,,姐妹
meB,ge ge,,male speaker's elder brother,,1238,Chen_2019,哥哥
myB,di di,,male speaker's younger brother,,1238,Chen_2019,弟弟
meZ,jie jie,,male speaker's elder sister,,1238,Chen_2019,姐姐
myZ,mei mei,,male speaker's younger sister,,1238,Chen_2019,妹妹
mP,fu mu,,male speaker's parent,,,,"父母, only available in the plural"
mF,fu qin,,male speaker's father,,1238,Chen_2019,父亲
mM,mu qin,,male speaker's mother,,1238,Chen_2019,母亲
mC,hai zi,,male speaker's child,,,,孩子
mS,er zi,,male speaker's son,,1238,Chen_2019,儿子
mD,nü er,,male speaker's daughter,,1238,Chen_2019,女儿
mA,zu xian,,male speaker's ancestor,,,,"祖先, more of a technical/religious term"
mPP,zu fu mu,,male speaker's grandparent,,,,"祖父母, only available in the plural"
mFF,zu fu,,male speaker's father's father,,1238,Chen_2019,祖父
mFM,zu mu,,male speaker's father's mother,,1238,Chen_2019,祖母
mMF,wai zu fu,,male speaker's mother's father,,1238,Chen_2019,外祖父
mMM,wai zu mu,,male speaker's mother's mother,,1238,Chen_2019,外祖母
mCC,,,male speaker's grandchild,,,,
mSS,sun zi,,male speaker's son's son,,1238,Chen_2019,孙子
mSD,sun nü,,male speaker's son's daughter,,1238,Chen_2019,孙女
mDS,wai sun zi,,male speaker's daughter's son,,1238,Chen_2019,外孙子
mDD,wai sun nü,,male speaker's daughter's daughter,,1238,Chen_2019,外孙女
mFB,,,male speaker's father's brother,,,,
mFZ,gu mu,,male speaker's father's sister,,1238,Chen_2019,姑母
mMB,jiu fu,,male speaker's mother's brother,,1238,Chen_2019,舅父
mMZ,yi ma,,male speaker's mother's sister,,1238,Chen_2019,姨妈
