"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"fF","k : a-bǎ, a-pǎ",,"female speaker's father",,,"Morgan1871",
"mF","k : a-bǎ, a-pǎ",,"male speaker's father",,,"Morgan1871",
"fM","k : a-me´, a-ma",,"female speaker's mother",,,"Morgan1871",
"mM","k : a-me´, a-ma",,"male speaker's mother",,,"Morgan1871",
"fFM","k : a-pwä, bwäa, bwä",,"female speaker's father's mother",,,"Morgan1871",
"fMM","k : a-pwä, bwäa, bwä",,"female speaker's mother's mother",,,"Morgan1871",
"mFM","k : a-pwä, bwäa, bwä",,"male speaker's father's mother",,,"Morgan1871",
"mMM","k : a-pwä, bwäa, bwä",,"male speaker's mother's mother",,,"Morgan1871",
"fFeB","k : bǎ-ky-ee",,"female speaker's father's older brother",,,"Morgan1871",
"mFeB","k : bǎ-ky-ee",,"male speaker's father's older brother",,,"Morgan1871",
"fFyB","k : bǎ-twǎ",,"female speaker's father's younger brother",,,"Morgan1871",
"fMyB","k : bǎ-twǎ",,"female speaker's mother's younger brother",,,"Morgan1871",
"mFyB","k : bǎ-twǎ",,"male speaker's father's younger brother",,,"Morgan1871",
"mMyB","k : bǎ-twǎ",,"male speaker's mother's younger brother",,,"Morgan1871",
"fMeB","k : bǎ-tyee",,"female speaker's mother's older brother",,,"Morgan1871",
"mMeB","k : bǎ-tyee",,"male speaker's mother's older brother",,,"Morgan1871",
"fFF","k : bo, a-pó",,"female speaker's father's father",,,"Morgan1871",
"fMF","k : bo, a-pó",,"female speaker's mother's father",,,"Morgan1871",
"mFF","k : bo, a-pó",,"male speaker's father's father",,,"Morgan1871",
"mMF","k : bo, a-pó",,"male speaker's mother's father",,,"Morgan1871",
"fFBeS","k : e-ko",,"female speaker's father's brother's older son",,,"Morgan1871",
"meB","k : e-ko",,"male speaker's older brother",,,"Morgan1871",
"fMZeS","k : e-ko",,"female speaker's mother's sister's older son",,,"Morgan1871",
"mFBeS","k : e-ko",,"male speaker's father's brother's older son",,,"Morgan1871",
"mMZeS","k : e-ko",,"male speaker's mother's sister's older son",,,"Morgan1871",
"fFZeS","k : e-ko-tau",,"female speaker's father's sister's older son",,,"Morgan1871",
"mFZeS","k : e-ko-tau",,"male speaker's father's sister's older son",,,"Morgan1871",
"fMBeS","k : e-ko´",,"female speaker's mother's brother's older son",,,"Morgan1871",
"mMBeS","k : e-ko´",,"male speaker's mother's brother's older son",,,"Morgan1871",
"fMBeD","k : e-mǎ",,"female speaker's mother's brother's older daughter",,,"Morgan1871",
"mMBeD","k : e-mǎ",,"male speaker's mother's brother's older daughter",,,"Morgan1871",
"fFBeD","k : e-ma",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"mFBeD","k : e-ma",,"male speaker's father's brother's older daughter",,,"Morgan1871",
"feZ","k : e-mǎ´",,"female speaker's older sister",,,"Morgan1871",
"fMZeD","k : e-mǎ´",,"female speaker's mother's sister's older daughter",,,"Morgan1871",
"meZ","k : e-mǎ´",,"male speker's older sister",,,"Morgan1871",
"mMZeD","k : e-mǎ´",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"fFZeD","k : e-maʼ",,"female speaker's father's sister's older daughter",,,"Morgan1871",
"mFZeD","k : e-maʼ",,"male speaker's father's sister's older daughter",,,"Morgan1871",
"fFZyD","k : hne-nǎ",,"female speaker's father's sister's younger daughter",,,"Morgan1871",
"mFZyD","k : hne-nǎ",,"male speaker's father's sister's younger daughter",,,"Morgan1871",
"myZ","k : hnee-mǎ",,"male speaker's younger sister",,,"Morgan1871",
"fFByD","k : hwee-mǎ",,"female speaker's father's brother's younger daughter",,,"Morgan1871",
"mFByD","k : hwee-mǎ",,"male speaker's father's brother's younger daughter",,,"Morgan1871",
"fFeZ","k : ky-ee-tan",,"female speaker's father's older sister",,,"Morgan1871",
"mFeZ","k : ky-ee-tan",,"male speaker's father's older sister",,,"Morgan1871",
"fSW","k : ky-na-mǎ",,"female speaker's son's wife",,,"Morgan1871",
"mSW","k : ky-na-mǎ",,"male speaker's son's wife",,,"Morgan1871",
"fH","k : liu",,"female speaker's husband",,,"Morgan1871",
"mW","k : ma-yä",,"male speaker's wife",,,"Morgan1871",
"fMyZ","k : mee-kwa",,"female speaker's mother's younger sister",,,"Morgan1871",
"mMyZ","k : mee-kwa",,"male speaker's mother's younger sister",,,"Morgan1871",
"fMeZ","k : mee-ky-ee",,"female speaker's mother's older sister",,,"Morgan1871",
"mMeZ","k : mee-ky-ee",,"male speaker's mother's older sister",,,"Morgan1871",
"fyB","k : mo-ung ga-ta´",,"female speaker's younger brother",,,"Morgan1871",
"feB","k : mo-ung ky-ee",,"female speaker's older brother",,,"Morgan1871",
"fDD","k : my-a´",,"female speaker's daughter's daughter",,,"Morgan1871",
"fDS","k : my-a´",,"female speaker's daughter's son",,,"Morgan1871",
"fSD","k : my-a´",,"female speaker's son's daughter",,,"Morgan1871",
"fSS","k : my-a´",,"female speaker's son's son",,,"Morgan1871",
"mDD","k : my-a´",,"male speaker's daughter's daughter",,,"Morgan1871",
"mDS","k : my-a´",,"male speaker's daughter's son",,,"Morgan1871",
"mSD","k : my-a´",,"male speaker's son's daughter",,,"Morgan1871",
"mSS","k : my-a´",,"male speaker's son's son",,,"Morgan1871",
"fMZyD","k : my-ee-mǎ´",,"female speaker's mother's sister's younger daughter",,,"Morgan1871",
"mMZyD","k : my-ee-mǎ´",,"male speaker's mother's sister's younger daughter",,,"Morgan1871",
"fMZyS","k : ny-ee",,"female speaker's mother's sister's younger son",,,"Morgan1871",
"mMZyS","k : ny-ee",,"male speaker's mother's sister's younger son",,,"Morgan1871",
"myB","k : ny-eé",,"male speaker's younger brother",,,"Morgan1871",
"fyZ","k : ny-ee-mǎ",,"female speaker's younger sister",,,"Morgan1871",
"fMByD","k : ny-ee-nǎ",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"fMByD","k : ny-ee-nǎ",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"mMByD","k : ny-ee-nǎ",,"male speaker's mother's brother's younger daughter",,,"Morgan1871",
"fFZyS","k : ny-ee-tau",,"male speaker's father's sister's younger son",,,"Morgan1871",
