"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"fFBeD","yeh dan-t'-khwa -mü",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fFByD","yeh dan-t'-khwa -mü",,"female speaker's father's brother's younger daughter",,,"Morgan1871",
"fMZeD","yeh dan-t'-khwa -mü",,"female speaker's mother's sister's older daughter",,,"Morgan1871",
"fMZyD","yeh dan-t'-khwa -mü",,"female speaker's mother's sister's younger daughter",,,"Morgan1871",
"mFBeD","yeh dan-t'-khwa -mü",,"male speaker's father's brother's older daughter",,,"Morgan1871",
"mFByD","yeh dan-t'-khwa -mü",,"male speaker's father's brother's younger daughter",,,"Morgan1871",
"mMZeD","yeh dan-t'-khwa -mü",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"mMZyD","yeh dan-t'-khwa -mü",,"male speaker's mother's sister's younger daughter",,,"Morgan1871",
"fMBeD","yeh dan-t'-khwa-mu",,"female speaker's mother's brother's older daughter",,,"Morgan1871",
"fMByD","yeh dan-t'-khwa-mǔ",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"mMByD","yeh dan-t'-khwa-mǔ",,"male speaker's mother's brother's younger daughter",,,"Morgan1871",
"fFZeD","yeh dan-t'-khwa-mü",,"female speaker's father's sister's older daughter",,,"Morgan1871",
"fFZyD","yeh dan-t'-khwa-mü",,"female speaker's father's sister's younger daughter",,,"Morgan1871",
"fMByD","yeh dan-t'-khwa-mü",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"mFZeD","yeh dan-t'-khwa-mü",,"male speaker's father's sister's older daughter",,,"Morgan1871",
"mFZyD","yeh dan-t'-khwa-mü",,"male speaker's father's sister's younger daughter",,,"Morgan1871",
"mMBeD","yeh dan-t'-khwa-mü",,"male speaker's mother's brother's older daughter",,,"Morgan1871",
"fSW","yeh deh",,"female speaker's son's wife",,,"Morgan1871",
"mSW","yeh deh",,"male speaker's son's wife",,,"Morgan1871",
"fDS","yeh lee´-khwa",,"female speaker's daughter's son",,,"Morgan1871",
"fSS","yeh lee´-khwa",,"female speaker's son's son",,,"Morgan1871",
"mDS","yeh lee´-khwa",,"male speaker's daughter's son",,,"Morgan1871",
"mSS","yeh lee´-khwa",,"male speaker's son's son",,,"Morgan1871",
"fDD","yeh lee´-mu",,"female speaker's daughter's daughter",,,"Morgan1871",
"fSD","yeh lee´-mu",,"female speaker's son's daughter",,,"Morgan1871",
"mDD","yeh lee´-mu",,"male speaker's daughter's daughter",,,"Morgan1871",
"mSD","yeh lee´-mu",,"male speaker's son's daughter",,,"Morgan1871",
"fDH","yeh mä",,"female speaker's daughter's husband",,,"Morgan1871",
"mDH","yeh mä",,"male speaker's daughter's husband",,,"Morgan1871",
"mW","yeh mah",,"male speaker's wife",,,"Morgan1871",
"fHF","yeh mee-pghá-khwa",,"female speaker's husband's father",,,"Morgan1871",
"mWF","yeh mee-pghá-khwa",,"male speaker's wife's father",,,"Morgan1871",
"mWM","yeh mee-pgha-mü",,"male speaker's wife's mother",,,"Morgan1871",
"fHM","yeh mee-pghá-mü",,"female speaker's husband's mother",,,"Morgan1871",
"fM","yeh mo",,"female speaker's mother",,,"Morgan1871",
"mM","yeh mo",,"male speaker's mother",,,"Morgan1871",
"fFeZ","yeh mü´-gah",,"female speaker's father's older sister",,,"Morgan1871",
"fFyZ","yeh mü´-gah",,"female speaker's father's younger sister",,,"Morgan1871",
"fMeZ","yeh mü´-gah",,"female speaker's mother's older sister",,,"Morgan1871",
"fMyZ","yeh mü´-gah",,"female speaker's mother's younger sister",,,"Morgan1871",
"mFeZ","yeh mü´-gah",,"male speaker's father's older sister",,,"Morgan1871",
"mFyZ","yeh mü´-gah",,"male speaker's father's younger sister",,,"Morgan1871",
"mMeZ","yeh mü´-gah",,"male speaker's mother's older sister",,,"Morgan1871",
"mMyZ","yeh mü´-gah",,"male speaker's mother's younger sister",,,"Morgan1871",
"fF","yeh pah",,"female speaker's father",,,"Morgan1871",
"mF","yeh pah",,"male speaker's father",,,"Morgan1871",
"fFeB","yeh páh-tee",,"female speaker's father's older brother",,,"Morgan1871",
"fFyB","yeh páh-tee",,"female speaker's father's younger brother",,,"Morgan1871",
"fMeB","yeh páh-tee",,"female speaker's mother's older brother",,,"Morgan1871",
"fMyB","yeh páh-tee",,"female speaker's mother's younger brother",,,"Morgan1871",
"mFeB","yeh páh-tee",,"male speaker's father's older brother",,,"Morgan1871",
"mFyB","yeh páh-tee",,"male speaker's father's younger brother",,,"Morgan1871",
"mMeB","yeh páh-tee",,"male speaker's mother's older brother",,,"Morgan1871",
"mMyB","yeh páh-tee",,"male speaker's mother's younger brother",,,"Morgan1871",
"fFM","yeh pee",,"female speaker's father's mother",,,"Morgan1871",
"fMM","yeh pee",,"female speaker's mother's mother",,,"Morgan1871",
"mFM","yeh pee",,"male speaker's father's mother",,,"Morgan1871",
"mMM","yeh pee",,"male speaker's mother's mother",,,"Morgan1871",
"fS","yeh pó khwa",,"female speaker's son",,,"Morgan1871",
"mS","yeh pó khwa",,"male speaker's son",,,"Morgan1871",
"fD","yeh pó mü",,"female speaker's daughter",,,"Morgan1871",
"mD","yeh pó mü",,"male speaker's daughter",,,"Morgan1871",
"feBS","yeh pó-do-khwa",,"female speaker's older brother's son",,,"Morgan1871",
"feZS","yeh pó-do-khwa",,"female speaker's older sister's son",,,"Morgan1871",
"fyBS","yeh pó-do-khwa",,"female speaker's younger brother's son",,,"Morgan1871",
"fyZS","yeh pó-do-khwa",,"female speaker's younger sister's son",,,"Morgan1871",
"meBS","yeh pó-do-khwa",,"male speaker's older brother's son",,,"Morgan1871",
"meZS","yeh pó-do-khwa",,"male speaker's older sister's son",,,"Morgan1871",
"myBS","yeh pó-do-khwa",,"male speaker's younger brother's son",,,"Morgan1871",
"myZS","yeh pó-do-khwa",,"male speaker's younger sister's son",,,"Morgan1871",
"feZD","yeh pó-do-mu",,"female speaker's older sister's daughter",,,"Morgan1871",
"fyZD","yeh pó-do-mu",,"female speaker's younger sister's daughter",,,"Morgan1871",
"feBD","yeh pó-do-mü",,"female speaker's older brother's daughter",,,"Morgan1871",
"fyBD","yeh pó-do-mü",,"female speaker's younger brother's daughter",,,"Morgan1871",
"meBD","yeh pó-do-mü",,"male speaker's older brother's daughter",,,"Morgan1871",
"meZD","yeh pó-do-mü",,"male speaker's older sister's daughter",,,"Morgan1871",
"myBD","yeh pó-do-mü",,"male speaker's younger brother's daughter",,,"Morgan1871",
"myZD","yeh pó-do-mü",,"male speaker's younger sister's daughter",,,"Morgan1871",
"fFF","Yeh pü",,"female speaker's father's father",,,"Morgan1871",
"fMF","Yeh pü",,"female speaker's mother's father",,,"Morgan1871",
"mFF","Yeh pü",,"male speaker's father's father",,,"Morgan1871",
"mMF","Yeh pü",,"male speaker's mother's father",,,"Morgan1871",
"fyB","yeh pü´ pau-khwa",,"female speaker's younger brother",,,"Morgan1871",
"myB","yeh pü´ pau-khwa",,"male speaker's younger brother",,,"Morgan1871",
"fyZ","yeh pü´ pau-mü",,"female speaker's younger sister",,,"Morgan1871",
"myZ","yeh pü´ pau-mü",,"male speaker's younger sister",,,"Morgan1871",
"fFByS","yeh t'-khwa",,"female speaker's father's brother's younger son",,,"Morgan1871",
"fFZeS","yeh t'-khwa",,"female speaker's father's sister's older son",,,"Morgan1871",
"fFZyS","yeh t'-khwa",,"male speaker's father's sister's younger son",,,"Morgan1871",
"fMBeS","yeh t'-khwa",,"female speaker's mother's brother's older son",,,"Morgan1871",
"fMByS","yeh t'-khwa",,"female speaker's mother's brother's younger son",,,"Morgan1871",
"fMZeS","yeh t'-khwa",,"female speaker's mother's sister's older son",,,"Morgan1871",
"fMZyS","yeh t'-khwa",,"female speaker's mother's sister's younger son",,,"Morgan1871",
"mFBeS","yeh t'-khwa",,"male speaker's father's brother's older son",,,"Morgan1871",
"mFByS","yeh t'-khwa",,"male speaker's father's brother's younger son",,,"Morgan1871",
"mFZeS","yeh t'-khwa",,"male speaker's father's sister's older son",,,"Morgan1871",
"mFZyS","yeh t'-khwa",,"male speaker's father's sister's younger son",,,"Morgan1871",
"mMBeS","yeh t'-khwa",,"male speaker's mother's brother's older son",,,"Morgan1871",
"mMByS","yeh t'-khwa",,"male speaker's mother's brother's younger son",,,"Morgan1871",
"mMZeS","yeh t'-khwa",,"male speaker's mother's sister's older son",,,"Morgan1871",
"mMZyS","yeh t'-khwa",,"male speaker's mother's sister's younger son",,,"Morgan1871",
"fFBeS","yeh t'-khwa",,"female speaker's father's brother's older son",,,"Morgan1871",
"fH","yeh wah",,"female speaker's husband",,,"Morgan1871",
"feZ","yeh wěh-pau mü",,"female speaker's older sister",,,"Morgan1871",
"feB","yeh wěh-pau-khwa",,"female speaker's older brother",,,"Morgan1871",
"meB","yeh wěh-pau-khwa",,"male speaker's older brother",,,"Morgan1871",
"meZ","yeh-wěh-pau mü",,"male speker's older sister",,,"Morgan1871",
