parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,3ʔatʌ,,male ego's older brother,,,,
myB,3ʔacoŋ,,male ego's younger brother,,,,
feB,3ʔatʌ,,female ego's older brother,,,,
fyB,3ʔacoŋ,,female ego's younger brother,,,,
meZ,3ʔanʌ,,male ego's older sister,,,,
feZ,3ʔanʌ,,female ego's older sister,,,,
mF,3ʔapʌ,,male ego's father,,,,
mM,3ʔamʌ,,male ego's mother,,,,
fF,3ʔapʌ,,female ego's father,,,,
fM,3ʔamʌ,,female ego's mother,,,,
mD,3ʔaŋʌ,,male ego's daughter,,,,
fD,3ʔaŋʌ,,female ego's daughter,,,,
mFF,3ʔakje,,male ego's father‘s father,,,,
mMF,3ʔakje,,male ego's mother's father,,,,
fFF,3ʔakje,,female ego's father's father,,,,
fMF,3ʔakje,,female ego's mother's father,,,,
mFyB,3ʔakje,,male ego's father's younger brother,,,,
mMeZ,3ʔaaɾu,,male ego's mother's older sister,,,,
mMyZ,2ʔaani,,male ego's mother's younger sister,,,,
fFyB,3ʔakje,,female ego's father's younger brother,,,,
fMeZ,3ʔaaɾu,,female ego's mother's older sister,,,,
fMyZ,2ʔaani,,female ego's mother's younger sister,,,,
