parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,-uw,,,,TP7(304),borges_aspectos_2006,
mM,-ɨ,,,,TP7(303),borges_aspectos_2006,
mS,-aɨʁa,,,,TP7(302),borges_aspectos_2006,
fB,kɨwɨʁ,,,,TP7(303),borges_aspectos_2006,
fyZ,pɨkɨɾ,,,,TP7(303),borges_aspectos_2006,
fF,-uw,,,,TP7(304),borges_aspectos_2006,
fM,-ɨ,,,,TP7(303),borges_aspectos_2006,
fD,-memɨʁ,,,,TP7(302),borges_aspectos_2006,
mZ,kwima,,,,TP6(40),silva_cativando_2009,
mM,ai,,,,TP6(40),silva_cativando_2009,
mS,txi-kua,,,,TP6(40),silva_cativando_2009,
mD,ilhinge,,,,TP6(40),silva_cativando_2009,
mMM,txi-kupialika,,,,TP6(40),silva_cativando_2009,
mWMZ,taiti,,,,TP6(40),silva_cativando_2009,
mMMZ,txadjila,,,,TP6(40),silva_cativando_2009,
fB,pia,,,,TP6(40),silva_cativando_2009,
feZ,txi-pykyga,,,,TP6(40),silva_cativando_2009,
fyZ,txi-kyguga,,,,TP6(40),silva_cativando_2009,
fM,ai,,,,TP6(40),silva_cativando_2009,
fMM,txadjila,,,,TP6(40),silva_cativando_2009,
fSS,txi-memoga,,,,TP6(40),silva_cativando_2009,
fSD,txi-memoga,,,,TP6(40),silva_cativando_2009,
fMyZ,txi-kupialika,,,,TP6(40),silva_cativando_2009,
feZD,kimika,,,,TP6(40),silva_cativando_2009,
fSWF,txi-pan a,,,,TP6(40),silva_cativando_2009,
fZDH,txi-pan a,,,,TP6(40),silva_cativando_2009,
fMMZ,txi-pilaka,,,,TP6(40),silva_cativando_2009,
fZDS,txi-gumialika,,,,TP6(40),silva_cativando_2009,
fZDD,kimika,,,,TP6(40),silva_cativando_2009,
