parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,rewɨt,,,,TP12(115),weiss_kayabi_nodate,
meB,rekiʔɨt,,,,TP12(115),weiss_kayabi_nodate,
myB,rewiret,,,,TP12(115),weiss_kayabi_nodate,
meZ,rewɨt,,,,TP12(115),weiss_kayabi_nodate,
myZ,rewɨt,,,,TP12(115),weiss_kayabi_nodate,
mF,rup,,,,TP12(114),weiss_kayabi_nodate,
mM,ɨ,,,,TP12(114),weiss_kayabi_nodate,
mC,raʔɨt,,,,TP12(114),weiss_kayabi_nodate,
mD,raʔɨt,,,,TP12(114),weiss_kayabi_nodate,
mFF,ramɨ͂y,,,,TP12(113),weiss_kayabi_nodate,
mFM,yarɨ͂y,,,,TP12(113),weiss_kayabi_nodate,
mMF,ramɨ͂y,,,,TP12(113),weiss_kayabi_nodate,
mMM,yarɨ͂y,,,,TP12(113),weiss_kayabi_nodate,
mCC,remɨminũ,,,,TP12(113),weiss_kayabi_nodate,
mSS,remɨminũ,,,,TP12(113),weiss_kayabi_nodate,
mSD,remɨminũ,,,,TP12(113),weiss_kayabi_nodate,
mDS,remɨminũ,,,,TP12(113),weiss_kayabi_nodate,
mDD,remɨminũ,,,,TP12(113),weiss_kayabi_nodate,
mFeZ,yaye,,,,TP12(115),weiss_kayabi_nodate,
mFyZ,yaye,,,,TP12(115),weiss_kayabi_nodate,
mMeB,tutɨt,,,,TP12(115),weiss_kayabi_nodate,
mMyB,tutɨt,,,,TP12(115),weiss_kayabi_nodate,
mFZD,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mFBD,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mMBD,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mMZD,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mFBS,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mFZS,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mMBS,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mMZS,remiʔuramet,,,,TP12(115),weiss_kayabi_nodate,
mW,remireko,,,,TP12(117),weiss_kayabi_nodate,
mWF,ratɨup,,,,TP12(117),weiss_kayabi_nodate,
mWM,royo,,,,TP12(117),weiss_kayabi_nodate,
mWB,ukiʔi,,,,TP12(117),weiss_kayabi_nodate,
mDH,raʔyɨwen,,,,TP12(116),weiss_kayabi_nodate,
