parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,kipit,,,,TP20,key_munduruku_2015,
myZ,kibit,,,,TP20,key_munduruku_2015,
myZ,kipit,,,,TP20,key_munduruku_2015,
mF,bay,,,,TP20,key_munduruku_2015,
mM,-ši,,,,TP20,key_munduruku_2015,
mS,ʔit,,,,TP20,key_munduruku_2015,
mFF,aǰoǰot,,,,TP20,key_munduruku_2015,
mFF,aǰotʔa,,,,TP20,key_munduruku_2015,
mFM,aǰɨ̃ɲ-ǰɨ̃ɲ,,,,TP20,key_munduruku_2015,
mMF,aǰoǰot,,,,TP20,key_munduruku_2015,
mMF,aǰotʔa,,,,TP20,key_munduruku_2015,
mMM,aǰɨ̃ɲ-ǰɨ̃ɲ,,,,TP20,key_munduruku_2015,
mH,-t-op,,,,TP20,key_munduruku_2015,
mW,-t-ay-ši,,,,TP20,key_munduruku_2015,
fB,kipit,,,,TP20,key_munduruku_2015,
fyZ,kibit,,,,TP20,key_munduruku_2015,
fyZ,kipit,,,,TP20,key_munduruku_2015,
fF,bay,,,,TP20,key_munduruku_2015,
fM,-ši,,,,TP20,key_munduruku_2015,
fS,ʔit,,,,TP20,key_munduruku_2015,
fFF,aǰoǰot,,,,TP20,key_munduruku_2015,
fFF,aǰotʔa,,,,TP20,key_munduruku_2015,
fFM,aǰɨ̃ɲ-ǰɨ̃ɲ,,,,TP20,key_munduruku_2015,
fMF,aǰoǰot,,,,TP20,key_munduruku_2015,
fMF,aǰotʔa,,,,TP20,key_munduruku_2015,
fMM,aǰɨ̃ɲ-ǰɨ̃ɲ,,,,TP20,key_munduruku_2015,
fH,-t-op,,,,TP20,key_munduruku_2015,
fW,-t-ay-ši,,,,TP20,key_munduruku_2015,
mH,-ktop,,,,TP20,key_munduruku_2015,
fH,-ktop,,,,TP20,key_munduruku_2015,
myB,kítpit,,,,TP32(213),lobato_picanco_munduruku_2005,
myZ,w-əiʃĩ́t,,,,TP32(213),lobato_picanco_munduruku_2005,
mS,o-kpot,,,,TP32(34),lobato_picanco_munduruku_2005,
mD,o-daʃít,,,,TP32(212),lobato_picanco_munduruku_2005,
mPP,áʤóʤót,,,,TP32(312),lobato_picanco_munduruku_2005,
mCC,o-ŋebít,,,,TP32(193),lobato_picanco_munduruku_2005,
fyB,kipít,,,,TP32(213),lobato_picanco_munduruku_2005,
fyZ,o-kibḭt,,,,TP32(213),lobato_picanco_munduruku_2005,
fPP,áʤóʤót,,,,TP32(312),lobato_picanco_munduruku_2005,
fCC,w-ə̰kta̰k,,,,TP32(193),lobato_picanco_munduruku_2005,
meB,wanyũ yũ,,,,TP31(420),lobato_picanco_munduruku_2005,
meB,wanyũ,,,,TP31(420),lobato_picanco_munduruku_2005,
mFM,aĩ́hĩ́,,,,TP33,lobato_picanco_munduruku_2005,
