parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,ŋõŋe,,,,TP9,key_siriono_2015,
mZ,enoŋe,,,,TP9,key_siriono_2015,
meB,eribi,,,,TP9,key_siriono_2015,
meB,ŋõŋe,,,,TP9,key_siriono_2015,
myB,ŋõŋe,,,,TP9,key_siriono_2015,
meZ,enoŋe,,,,TP9,key_siriono_2015,
myZ,enoŋe,,,,TP9,key_siriono_2015,
mF,paba,,,,TP9,key_siriono_2015,
mF,e-ru,,,,TP9,key_siriono_2015,
mF,ŋu,,,,TP9,key_siriono_2015,
mM,tãĩ,,,,TP9,key_siriono_2015,
mM,esi,,,,TP9,key_siriono_2015,
mS,eriirĩ,,,,TP9,key_siriono_2015,
mS,erukuča,,,,TP9,key_siriono_2015,
mD,eriirĩ,,,,TP9,key_siriono_2015,
mD,erukuča,,,,TP9,key_siriono_2015,
mFF,ãmẽĩ̯,,,,TP9,key_siriono_2015,
mFF,erãmẽĩ̯,,,,TP9,key_siriono_2015,
mFM,ečari,,,,TP9,key_siriono_2015,
mMF,ãmẽĩ̯,,,,TP9,key_siriono_2015,
mMF,erãmẽĩ̯,,,,TP9,key_siriono_2015,
mMM,ečari,,,,TP9,key_siriono_2015,
mSS,erukuča riirĩ,,,,TP9,key_siriono_2015,
mDS,erukuča riirĩ,,,,TP9,key_siriono_2015,
mBS,eriirĩ,,,,TP9,key_siriono_2015,
mBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
mZS,eriirĩ,,,,TP9,key_siriono_2015,
mZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
meBS,eriirĩ,,,,TP9,key_siriono_2015,
meBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
myBS,eriirĩ,,,,TP9,key_siriono_2015,
myBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
meZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
myZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
mH,eru,,,,TP9,key_siriono_2015,
mW,enĩnĩsi,,,,TP9,key_siriono_2015,
mW,kuɲa,,,,TP9,key_siriono_2015,
mW,ememi,,,,TP9,key_siriono_2015,
mHF,eramei̯,,,,TP9,key_siriono_2015,
mHF,amei̯,,,,TP9,key_siriono_2015,
mHM,ečari,,,,TP9,key_siriono_2015,
mWF,enoŋe ru,,,,TP9,key_siriono_2015,
mWM,enoŋe ninisi,,,,TP9,key_siriono_2015,
mDH,akʷani̯nu,,,,TP9,key_siriono_2015,
fB,ŋõŋe,,,,TP9,key_siriono_2015,
fZ,enoŋe,,,,TP9,key_siriono_2015,
feB,eribi,,,,TP9,key_siriono_2015,
feB,ŋõŋe,,,,TP9,key_siriono_2015,
fyB,ŋõŋe,,,,TP9,key_siriono_2015,
feZ,enoŋe,,,,TP9,key_siriono_2015,
fyZ,enoŋe,,,,TP9,key_siriono_2015,
fF,paba,,,,TP9,key_siriono_2015,
fF,e-ru,,,,TP9,key_siriono_2015,
fF,ŋu,,,,TP9,key_siriono_2015,
fM,tãĩ,,,,TP9,key_siriono_2015,
fM,esi,,,,TP9,key_siriono_2015,
fS,eriirĩ,,,,TP9,key_siriono_2015,
fS,erukuča,,,,TP9,key_siriono_2015,
fD,eriirĩ,,,,TP9,key_siriono_2015,
fD,erukuča,,,,TP9,key_siriono_2015,
fFF,ãmẽĩ̯,,,,TP9,key_siriono_2015,
fFF,erãmẽĩ̯,,,,TP9,key_siriono_2015,
fFM,ečari,,,,TP9,key_siriono_2015,
fMF,ãmẽĩ̯,,,,TP9,key_siriono_2015,
fMF,erãmẽĩ̯,,,,TP9,key_siriono_2015,
fMM,ečari,,,,TP9,key_siriono_2015,
fSS,erukuča riirĩ,,,,TP9,key_siriono_2015,
fDS,erukuča riirĩ,,,,TP9,key_siriono_2015,
fBS,eriirĩ,,,,TP9,key_siriono_2015,
fBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
fZS,eriirĩ,,,,TP9,key_siriono_2015,
fZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
feBS,eriirĩ,,,,TP9,key_siriono_2015,
feBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
fyBS,eriirĩ,,,,TP9,key_siriono_2015,
fyBS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
feZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
fyZS,enoŋe riirĩ,,,,TP9,key_siriono_2015,
fH,eru,,,,TP9,key_siriono_2015,
fW,enĩnĩsi,,,,TP9,key_siriono_2015,
fW,kuɲa,,,,TP9,key_siriono_2015,
fW,ememi,,,,TP9,key_siriono_2015,
fHF,eramei̯,,,,TP9,key_siriono_2015,
fHF,amei̯,,,,TP9,key_siriono_2015,
fHM,ečari,,,,TP9,key_siriono_2015,
fWF,enoŋe ru,,,,TP9,key_siriono_2015,
fWM,enoŋe ninisi,,,,TP9,key_siriono_2015,
fDH,akʷani̯nu,,,,TP9,key_siriono_2015,
mFM,ari,,,,TP9,key_siriono_2015,
mMM,ari,,,,TP9,key_siriono_2015,
fFM,ari,,,,TP9,key_siriono_2015,
fMM,ari,,,,TP9,key_siriono_2015,
fHM,ári,,,,TP15(53),key_siriono_2015,
mB,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mZ,auóNge,,,,TP15(53),noauthor_nomads_nodate,
meB,auóNge,,,,TP15(53),noauthor_nomads_nodate,
myB,auóNge,,,,TP15(53),noauthor_nomads_nodate,
meZ,auóNge,,,,TP15(53),noauthor_nomads_nodate,
myZ,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mF,éru,,,,TP15(53),noauthor_nomads_nodate,
mM,ézi,,,,TP15(53),noauthor_nomads_nodate,
mS,edídi,,,,TP15(54),noauthor_nomads_nodate,
mD,edídi,,,,TP15(54),noauthor_nomads_nodate,
mFF,ámi,,,,TP15(53),noauthor_nomads_nodate,
mMF,ámi,,,,TP15(53),noauthor_nomads_nodate,
mCC,áke,,,,TP15(54),noauthor_nomads_nodate,
mSS,áke,,,,TP15(54),noauthor_nomads_nodate,
mSD,áke,,,,TP15(54),noauthor_nomads_nodate,
mDS,áke,,,,TP15(54),noauthor_nomads_nodate,
mDD,áke,,,,TP15(54),noauthor_nomads_nodate,
mFB,éru,,,,TP15(53),noauthor_nomads_nodate,
mFZ,ári,,,,TP15(53),noauthor_nomads_nodate,
mMB,ámi,,,,TP15(53),noauthor_nomads_nodate,
mMZ,ézi,,,,TP15(53),noauthor_nomads_nodate,
mFeB,éru,,,,TP15(53),noauthor_nomads_nodate,
mFyB,éru,,,,TP15(53),noauthor_nomads_nodate,
mFeZ,ári,,,,TP15(53),noauthor_nomads_nodate,
mFyZ,ári,,,,TP15(53),noauthor_nomads_nodate,
mMeZ,ézi,,,,TP15(53),noauthor_nomads_nodate,
mMyZ,ézi,,,,TP15(53),noauthor_nomads_nodate,
mMeB,ámi,,,,TP15(53),noauthor_nomads_nodate,
mMyB,ámi,,,,TP15(53),noauthor_nomads_nodate,
mBS,edídi,,,,TP15(53),noauthor_nomads_nodate,
mBD,edídi,,,,TP15(54),noauthor_nomads_nodate,
mZS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mZD,akwáni,,,,TP15(53),noauthor_nomads_nodate,
meBS,edídi,,,,TP15(53),noauthor_nomads_nodate,
myBS,edídi,,,,TP15(53),noauthor_nomads_nodate,
meBD,edídi,,,,TP15(54),noauthor_nomads_nodate,
myBD,edídi,,,,TP15(54),noauthor_nomads_nodate,
meZS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
meZS,akwáni,,,,TP15(53),noauthor_nomads_nodate,
myZS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
myZS,akwáni,,,,TP15(53),noauthor_nomads_nodate,
meZD,akwáni,,,,TP15(53),noauthor_nomads_nodate,
myZD,akwáni,,,,TP15(53),noauthor_nomads_nodate,
mFZD,ári,,,,TP15(53),noauthor_nomads_nodate,
mMBD,yánde,,,,TP15(53),noauthor_nomads_nodate,
mMZD,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFBS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFZS,ámi,,,,TP15(53),noauthor_nomads_nodate,
mMBS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mMZS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFeBS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFyBS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFeZS,ámi,,,,TP15(53),noauthor_nomads_nodate,
mFyZS,ámi,,,,TP15(53),noauthor_nomads_nodate,
mFeZD,ári,,,,TP15(53),noauthor_nomads_nodate,
mFyZD,ári,,,,TP15(53),noauthor_nomads_nodate,
mMeBS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mMyBS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mMeZS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMyZS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMeBD,yánde,,,,TP15(53),noauthor_nomads_nodate,
mMyBD,yánde,,,,TP15(53),noauthor_nomads_nodate,
mMeZD,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMyZD,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFBeS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFByS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mFZeS,ámi,,,,TP15(53),noauthor_nomads_nodate,
mFZyS,ámi,,,,TP15(53),noauthor_nomads_nodate,
mFZeD,ári,,,,TP15(53),noauthor_nomads_nodate,
mFZyD,ári,,,,TP15(53),noauthor_nomads_nodate,
mMBeS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mMByS,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mMZeS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMZyS,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMBeD,yánde,,,,TP15(53),noauthor_nomads_nodate,
mMByD,yánde,,,,TP15(53),noauthor_nomads_nodate,
mMZeD,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mMZyD,auóNge,,,,TP15(53),noauthor_nomads_nodate,
mW,nininízi,,,,TP15(54),noauthor_nomads_nodate,
mWF,ámi,,,,TP15(53),noauthor_nomads_nodate,
mWM,ári,,,,TP15(53),noauthor_nomads_nodate,
mZH,ámi,,,,TP15(53),noauthor_nomads_nodate,
mWB,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mWZ,yánde,,,,TP15(53),noauthor_nomads_nodate,
mFW(notM),ézi,,,,TP15(53),noauthor_nomads_nodate,
mMH(notF),éru,,,,TP15(53),noauthor_nomads_nodate,
mDH,akwaníndu,,,,TP15(53),noauthor_nomads_nodate,
mFZH,ámi,,,,TP15(53),noauthor_nomads_nodate,
mFBW,ézi,,,,TP15(53),noauthor_nomads_nodate,
mMZH,éru,,,,TP15(53),noauthor_nomads_nodate,
mMBW,ári,,,,TP15(53),noauthor_nomads_nodate,
fB,auóNge,,,,TP15(53),noauthor_nomads_nodate,
fZ,auóNge,,,,TP15(53),noauthor_nomads_nodate,
feB,auóNge,,,,TP15(53),noauthor_nomads_nodate,
