parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,nirun-,,,,TP28(66),peggion_forma_1996,
mZ,-rendyr-,,,,TP28(66),peggion_forma_1996,
meB,-reky'yra-,,,,TP28(66),peggion_forma_1996,
myB,-rey'reta-,,,,TP28(66),peggion_forma_1996,
mF,apĩ-,,,,TP28(66),peggion_forma_1996,
mM,a'i-,,,,TP28(66),peggion_forma_1996,
mS,-ra'yra-,,,,TP28(67),peggion_forma_1996,
mD,-ra'yra-,,,,TP28(67),peggion_forma_1996,
mFF,-amonh-,,,,TP28(66),peggion_forma_1996,
mFM,-jariki,,,,TP28(66),peggion_forma_1996,
mMF,-amonh-,,,,TP28(66),peggion_forma_1996,
mMM,-jariki,,,,TP28(66),peggion_forma_1996,
mCC,irumumino-,,,,TP28(68),peggion_forma_1996,
mFB,uvy-,,,,TP28(66),peggion_forma_1996,
mFZ,jaji-,,,,TP28(66),peggion_forma_1996,
mMB,tutyr-,,,,TP28(66),peggion_forma_1996,
mMZ,yy-,,,,TP28(66),peggion_forma_1996,
mFeB,uvy-,,,,TP28(66),peggion_forma_1996,
mFyB,uvy-,,,,TP28(66),peggion_forma_1996,
mFeZ,jaji-,,,,TP28(66),peggion_forma_1996,
mFyZ,jaji-,,,,TP28(66),peggion_forma_1996,
mMeZ,yy-,,,,TP28(66),peggion_forma_1996,
mMyZ,yy-,,,,TP28(66),peggion_forma_1996,
mMeB,tutyr-,,,,TP28(66),peggion_forma_1996,
mMyB,tutyr-,,,,TP28(66),peggion_forma_1996,
mBS,-ra'yra-,,,,TP28(67),peggion_forma_1996,
mBD,-ra'yra-,,,,TP28(67),peggion_forma_1996,
mZS,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
mZD,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
meBS,-ra'yra-,,,,TP28(67),peggion_forma_1996,
myBS,-ra'yra-,,,,TP28(67),peggion_forma_1996,
meBD,-ra'yra-,,,,TP28(67),peggion_forma_1996,
myBD,-ra'yra-,,,,TP28(67),peggion_forma_1996,
meZS,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
myZS,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
meZD,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
myZD,ikunhambyr-,,,,TP28(67),peggion_forma_1996,
mFZD,jajivembyr-,,,,TP28(66),peggion_forma_1996,"If ego have cross-cousins, the term used is amotehe."
mFBD,-rendyr-,,,,TP28(66),peggion_forma_1996,
mMBD,jajivembyr-,,,,TP28(66),peggion_forma_1996,
mMZD,-rendyr-,,,,TP28(66),peggion_forma_1996,
mFBS,nirun-,,,,TP28(66),peggion_forma_1996,
mFZS,jajivembyr-,,,,TP28(66),peggion_forma_1996,
mMBS,jajivembyr-,,,,TP28(66),peggion_forma_1996,
mMZS,nirun-,,,,TP28(66),peggion_forma_1996,
mFBeS,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mFByS,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mFZeS,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mFZyS,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mFBeD,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mFByD,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mFZeD,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mFZyD,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mMBeS,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mMByS,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mMZeS,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mMZyS,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mMBeD,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mMByD,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mMZeD,-reky'yra-,,,,TP28(67),peggion_forma_1996,
mMZyD,-rey'reta-,,,,TP28(67),peggion_forma_1996,
mE,-rembireko-,,,,TP28(67),peggion_forma_1996,
mBW,jajivembyr-,,,amotehe,"TP28(66, 67)",peggion_forma_1996,
mZH,jajivembyr-,,,amotehe,"TP28(66, 67)",peggion_forma_1996,
mWB,jajivembyr-,,,amotehe,"TP28(66, 67)",peggion_forma_1996,
mWZ,jajivembyr-,,,amotehe,"TP28(66, 67)",peggion_forma_1996,
mSW,-jarahẽa,,,,TP28(67),peggion_forma_1996,
mDH,itaray'ra'ga,,,,TP28(67),peggion_forma_1996,
meZ,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
myZ,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFeBS,nirun-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFyBS,nirun-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFeZS,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFyZS,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFeBD,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFyBD,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mFeZD,jajivembyr-,,,,TP28(66),peggion_forma_1996,"Inferred; If ego have cross-cousins, the term used is amotehe."
mFyZD,jajivembyr-,,,,TP28(66),peggion_forma_1996,"Inferred; If ego have cross-cousins, the term used is amotehe."
mMeBS,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMyBS,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMeZS,nirun-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMyZS,nirun-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMeBD,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMyBD,jajivembyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMeZD,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
mMyZD,-rendyr-,,,,TP28(66),peggion_forma_1996,Inferred; NA
fB,nirun-,,,,TP28(66),peggion_forma_1996,
fZ,-rendyr-,,,,TP28(66),peggion_forma_1996,
feB,-reky'yra-,,,,TP28(66),peggion_forma_1996,
fyB,-rey'reta-,,,,TP28(66),peggion_forma_1996,
fF,apĩ-,,,,TP28(66),peggion_forma_1996,
fM,a'i-,,,,TP28(66),peggion_forma_1996,
fS,-ra'yra-,,,,TP28(67),peggion_forma_1996,
fD,-ra'yra-,,,,TP28(67),peggion_forma_1996,
fFF,-amonh-,,,,TP28(66),peggion_forma_1996,
fFM,-jariki,,,,TP28(66),peggion_forma_1996,
fMF,-amonh-,,,,TP28(66),peggion_forma_1996,
fMM,-jariki,,,,TP28(66),peggion_forma_1996,
fCC,itumumino-,,,,TP28(68),peggion_forma_1996,
fFB,uvy-,,,,TP28(66),peggion_forma_1996,
fFZ,jaji-,,,,TP28(66),peggion_forma_1996,
