parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,gerdesh,,,,TUR2,khalilov_azerbaijan_2015,"gerdeš, ba??"
mG,bachy,,,,TUR2,khalilov_azerbaijan_2015,"gerdeš, ba??"
mB,gerdesh,,,,TUR2,khalilov_azerbaijan_2015,gerdeš
mZ,bachy,,,,TUR2,khalilov_azerbaijan_2015,ba??
myB,kichik gerdesh,,,,TUR2,khalilov_azerbaijan_2015,ki?ik gerdeš
myZ,kichik bachy,,,,TUR2,khalilov_azerbaijan_2015,ki?ik ba??
mF,ata,,,,TUR2,khalilov_azerbaijan_2015,"ata, ede, papa"
mF,ede,,,,TUR2,khalilov_azerbaijan_2015,"ata, ede, papa"
mF,papa,,,,TUR2,khalilov_azerbaijan_2015,"ata, ede, papa"
mM,ana,,,,TUR2,khalilov_azerbaijan_2015,"ana, mama, ba??"
mM,mama,,,,TUR2,khalilov_azerbaijan_2015,"ana, mama, ba??"
mM,bachy,,,,TUR2,khalilov_azerbaijan_2015,"ana, mama, ba??"
mC,ushaglary,,,,TUR2,khalilov_azerbaijan_2015,"ušaglar?, övladlar?"
mC,o'vladlary,,,,TUR2,khalilov_azerbaijan_2015,"ušaglar?, övladlar?"
mS,ogul,,,,TUR2,khalilov_azerbaijan_2015,ogul
mD,giz,,,,TUR2,khalilov_azerbaijan_2015,giz
mFF,dede,,,,TUR2,khalilov_azerbaijan_2015,"dede, baba"
mFF,baba,,,,TUR2,khalilov_azerbaijan_2015,"dede, baba"
mFM,nene,,,,TUR2,khalilov_azerbaijan_2015,"nene, ana"
mFM,ana,,,,TUR2,khalilov_azerbaijan_2015,"nene, ana"
mMF,dede,,,,TUR2,khalilov_azerbaijan_2015,"dede, baba"
mMF,baba,,,,TUR2,khalilov_azerbaijan_2015,"dede, baba"
mMM,nene,,,,TUR2,khalilov_azerbaijan_2015,"nene, ana"
mMM,ana,,,,TUR2,khalilov_azerbaijan_2015,"nene, ana"
mSS,neve,,,,TUR2,khalilov_azerbaijan_2015,neve
mSD,neve(giz),,,,TUR2,khalilov_azerbaijan_2015,neve (giz)
mDS,neve,,,,TUR2,khalilov_azerbaijan_2015,neve
mDD,neve(giz),,,,TUR2,khalilov_azerbaijan_2015,neve (giz)
mFB,emi,,,,TUR2,khalilov_azerbaijan_2015,emi
mFZ,bibi,,,,TUR2,khalilov_azerbaijan_2015,bibi
