"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,,,,"",
"mB","brat",,,,,"Meszaros_2001",
"mZ","patʹat-sazort",,,,,"Meszaros_2001",
"meB","lʹelʹa",,,,,"Meszaros_2001",
"myB","jalaks",,,,,"Meszaros_2001",
"myB","duga",,,,,"Meszaros_2001",
"meZ","patʹa",,,,,"Meszaros_2001",
"myZ","sazor",,,,,"Meszaros_2001",
"mP","tʹetʹat-avat",,,,,"Meszaros_2001",
"mF","tʹetʹa",,,,,"Meszaros_2001",
"mM","ava",,,,,"Meszaros_2001",
"mC","ejkakš",,,,,"Meszaros_2001",
"mC","ejdʹe",,,,,"Meszaros_2001",
"mC","kaka",,,,,"Meszaros_2001",
"mC","pakša",,,,,"Meszaros_2001",
"mC","tʹaka",,,,,"Meszaros_2001",
"mS","ćora",,,,,"Meszaros_2001",
"mD","tʹejtʹeŕ",,,,,"Meszaros_2001",
"mA","",,,,,"",
"mPP","pokštʹat-babat",,,,,"Meszaros_2001",
"mFF","atʹa",,,,,"Meszaros_2001",
"mFF","pokštʹa",,,,,"Meszaros_2001",
"mFF","bodʹa",,,,,"Meszaros_2001",
"mFF","dʹeda",,,,,"Meszaros_2001",
"mFF","siŕe atʹa",,,,,"Meszaros_2001",
"mFM","siŕkaj",,,,,"Meszaros_2001",
"mFM","baba",,,,,"Meszaros_2001",
"mMF","vasolpokštʹa",,,,,"Meszaros_2001",
"mMF","vasolbodʹa",,,,,"Meszaros_2001",
"mMF","vasoldʹeda",,,,,"Meszaros_2001",
"mMF","večka dʹeda",,,,,"Meszaros_2001",
"mMM","vasolbaba",,,,,"Meszaros_2001",
"mMM","večka baba",,,,,"Meszaros_2001",
"mMM","mazibaba",,,,,"Meszaros_2001",
"mMM","avka",,,,,"Meszaros_2001",
"mCC","nuka",,,,,"Meszaros_2001",
"mCC","nućka",,,,,"Meszaros_2001",
"mCC","bujo",,,,,"Meszaros_2001",
"mCC","ejkakšoń ejkakš",,,,,"Meszaros_2001",
"mSS","ćorań ćora",,,,,"Meszaros_2001",
"mSD","ćorań tʹejtʹeŕ",,,,,"Meszaros_2001",
"mDS","tʹejtʹeŕeń ćora",,,,,"Meszaros_2001",
"mDD","tʹejtʹeŕeń tʹejtʹeŕ",,,,,"Meszaros_2001",
"mFB","lʹelʹa",,,,,"Meszaros_2001",
"mFB","od dʹeda",,,,,"Meszaros_2001",
"mFZ","patʹa",,,,,"Meszaros_2001",
"mMB","lʹelʹa",,,,,"Meszaros_2001",
"mMZ","patʹa",,,,,"Meszaros_2001",
"mFeB","",,,,,"",
"mFyB","vežeńś alʹka",,,,,"Meszaros_2001",
"mFeZ","pokš patʹa",,,,,"Meszaros_2001",
"mFeZ","siŕe patʹa",,,,,"Meszaros_2001",
