parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,sisar̃,,,,UR15,,
fG,sisar̃,,,,UR15,,
mB,weli,,,,UR8,kuusk_finnish_2015,
mZ,sisko,,,,UR8,kuusk_finnish_2015,
myB,nuor̃empi weli,,,,UR8,kuusk_finnish_2015,
myZ,nuor̃empi sisar̃,,,,UR8,kuusk_finnish_2015,
mF,isæ,,,,UR8,kuusk_finnish_2015,
mM,æiti,,,,UR8,kuusk_finnish_2015,
mC,yælkelæinen,,,,UR8,kuusk_finnish_2015,
mS,poika,,,,UR8,kuusk_finnish_2015,
mD,tütær̃,,,,UR8,kuusk_finnish_2015,
mFF,isoisæ,,,,UR8,kuusk_finnish_2015,
mFF,waar̃i,,,,UR8,kuusk_finnish_2015,
mFM,isoæiti,,,,UR8,kuusk_finnish_2015,
mFM,mummo,,,,UR8,kuusk_finnish_2015,
mMF,isoisæ,,,,UR8,kuusk_finnish_2015,
mMF,waar̃i,,,,UR8,kuusk_finnish_2015,
mMM,isoæiti,,,,UR8,kuusk_finnish_2015,
mMM,mummo,,,,UR8,kuusk_finnish_2015,
mSS,lapsenlapsi,,,,UR8,kuusk_finnish_2015,
mSD,lapsenlapsi,,,,UR8,kuusk_finnish_2015,
mDS,lapsenlapsi,,,,UR8,kuusk_finnish_2015,
mDD,lapsenlapsi,,,,UR8,kuusk_finnish_2015,
mFB,setæ,,,,UR8,kuusk_finnish_2015,
mFZ,tæti,,,,UR8,kuusk_finnish_2015,
mMB,eno,,,,UR8,kuusk_finnish_2015,
mMZ,tæti,,,,UR8,kuusk_finnish_2015,
mBS,welyenpoika,,,,UR8,kuusk_finnish_2015,
mBS,sisar̃enpoika,,,,UR8,kuusk_finnish_2015,
mBD,welyentütær̃,,,,UR8,kuusk_finnish_2015,
mBD,sisar̃entütær̃,,,,UR8,kuusk_finnish_2015,
mZS,welyenpoika,,,,UR8,kuusk_finnish_2015,
mZS,sisar̃enpoika,,,,UR8,kuusk_finnish_2015,
mZD,welyentütær̃,,,,UR8,kuusk_finnish_2015,
mZD,sisar̃entütær̃,,,,UR8,kuusk_finnish_2015,
mFZD,ser̃kku,,,,UR8,kuusk_finnish_2015,
mFBD,ser̃kku,,,,UR8,kuusk_finnish_2015,
mMBD,ser̃kku,,,,UR8,kuusk_finnish_2015,
mMZD,ser̃kku,,,,UR8,kuusk_finnish_2015,
mFBS,ser̃kku,,,,UR8,kuusk_finnish_2015,
mFZS,ser̃kku,,,,UR8,kuusk_finnish_2015,
mMBS,ser̃kku,,,,UR8,kuusk_finnish_2015,
mMZS,ser̃kku,,,,UR8,kuusk_finnish_2015,
mH,(awio)mies,,,,UR8,kuusk_finnish_2015,
mW,waimo,,,,UR8,kuusk_finnish_2015,
mHF,appi,,,,UR8,kuusk_finnish_2015,
mHM,anoppi,,,,UR8,kuusk_finnish_2015,
mWF,appi,,,,UR8,kuusk_finnish_2015,
mWM,anoppi,,,,UR8,kuusk_finnish_2015,
mSW,miniæ,,,,UR8,kuusk_finnish_2015,
mSW,miniæ,,,,UR8,kuusk_finnish_2015,
mDH,wæwü,,,,UR8,kuusk_finnish_2015,
mDH,wæwü,,,,UR8,kuusk_finnish_2015,
meB,weli,,,,UR8,kuusk_finnish_2015,Inferred; NA
meZ,sisko,,,,UR8,kuusk_finnish_2015,Inferred; NA
mFeB,setæ,,,,UR8,kuusk_finnish_2015,Inferred; NA
mFyB,setæ,,,,UR8,kuusk_finnish_2015,Inferred; NA
mFeZ,tæti,,,,UR8,kuusk_finnish_2015,Inferred; NA
mFyZ,tæti,,,,UR8,kuusk_finnish_2015,Inferred; NA
mMeZ,tæti,,,,UR8,kuusk_finnish_2015,Inferred; NA
mMyZ,tæti,,,,UR8,kuusk_finnish_2015,Inferred; NA
mMeB,eno,,,,UR8,kuusk_finnish_2015,Inferred; NA
