parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,čoya-voka,,,,UR11,turkin_komi_2015,
mB,vok,,,,UR11,turkin_komi_2015,
mZ,čoy,,,,UR11,turkin_komi_2015,
myB,ičötdžɩk vok,,,,UR11,turkin_komi_2015,
myZ,ičötdžɩk čoy,,,,UR11,turkin_komi_2015,
mF,batʸ,,,,UR11,turkin_komi_2015,
mF,ay,,,,UR11,turkin_komi_2015,
mM,mam,,,,UR11,turkin_komi_2015,
mC,yɩlöm,,,,UR11,turkin_komi_2015,
mS,pi,,,,UR11,turkin_komi_2015,
mD,nɩv,,,,UR11,turkin_komi_2015,
mFF,ɩdžɩd ay,,,,UR11,turkin_komi_2015,
mFF,pölʸ,,,,UR11,turkin_komi_2015,
mFM,pöč,,,,UR11,turkin_komi_2015,
mFM,ɩdžɩd mam,,,,UR11,turkin_komi_2015,
mMF,ɩdžɩd ay,,,,UR11,turkin_komi_2015,
mMF,pölʸ,,,,UR11,turkin_komi_2015,
mMM,pöč,,,,UR11,turkin_komi_2015,
mMM,ɩdžɩd mam,,,,UR11,turkin_komi_2015,
mSS,pölʸön šuɩsʸ,,,,UR11,turkin_komi_2015,
mSS,pögön šuɩsʸ,,,,UR11,turkin_komi_2015,
mSD,pölʸön šuɩsʸ,,,,UR11,turkin_komi_2015,
mSD,pögön šuɩsʸ,,,,UR11,turkin_komi_2015,
mDS,pölʸön šuɩsʸ,,,,UR11,turkin_komi_2015,
mDS,pögön šuɩsʸ,,,,UR11,turkin_komi_2015,
mDD,pölʸön šuɩsʸ,,,,UR11,turkin_komi_2015,
mDD,pögön šuɩsʸ,,,,UR11,turkin_komi_2015,
mFB,dyadʸ,,,,UR11,turkin_komi_2015,
mFZ,ob,,,,UR11,turkin_komi_2015,
mMB,čož,,,,UR11,turkin_komi_2015,
mMZ,ičinʸ,,,,UR11,turkin_komi_2015,
mBS,plemyannik,,,,UR11,turkin_komi_2015,
mBD,plemyannic̷a,,,,UR11,turkin_komi_2015,
mZS,plemyannik,,,,UR11,turkin_komi_2015,
mZD,plemyannic̷a,,,,UR11,turkin_komi_2015,
mFZD,voga vok,,,,UR11,turkin_komi_2015,
mFZD,bratan,,,,UR11,turkin_komi_2015,
mFZD,voga čoy,,,,UR11,turkin_komi_2015,
mFBD,voga vok,,,,UR11,turkin_komi_2015,
mFBD,bratan,,,,UR11,turkin_komi_2015,
mFBD,voga čoy,,,,UR11,turkin_komi_2015,
mMBD,voga vok,,,,UR11,turkin_komi_2015,
mMBD,bratan,,,,UR11,turkin_komi_2015,
mMBD,voga čoy,,,,UR11,turkin_komi_2015,
mMZD,voga vok,,,,UR11,turkin_komi_2015,
mMZD,bratan,,,,UR11,turkin_komi_2015,
mMZD,voga čoy,,,,UR11,turkin_komi_2015,
mFBS,voga vok,,,,UR11,turkin_komi_2015,
mFBS,bratan,,,,UR11,turkin_komi_2015,
mFBS,voga čoy,,,,UR11,turkin_komi_2015,
mFZS,voga vok,,,,UR11,turkin_komi_2015,
mFZS,bratan,,,,UR11,turkin_komi_2015,
mFZS,voga čoy,,,,UR11,turkin_komi_2015,
mMBS,voga vok,,,,UR11,turkin_komi_2015,
mMBS,bratan,,,,UR11,turkin_komi_2015,
mMBS,voga čoy,,,,UR11,turkin_komi_2015,
mMZS,voga vok,,,,UR11,turkin_komi_2015,
mMZS,bratan,,,,UR11,turkin_komi_2015,
mMZS,voga čoy,,,,UR11,turkin_komi_2015,
mH,ver̃ös,,,,UR11,turkin_komi_2015,
mW,götɩr̃,,,,UR11,turkin_komi_2015,
mHF,testʸ,,,,UR11,turkin_komi_2015,
mHM,tʸöšʸa,,,,UR11,turkin_komi_2015,
mWF,ayka,,,,UR11,turkin_komi_2015,
mWM,enʸka,,,,UR11,turkin_komi_2015,
mWM,inʸka,,,,UR11,turkin_komi_2015,
mSW,monʸ,,,,UR11,turkin_komi_2015,
mSW,kev,,,,UR11,turkin_komi_2015,
mSW,monʸ,,,,UR11,turkin_komi_2015,
mSW,kev,,,,UR11,turkin_komi_2015,
mDH,zyatʸ,,,,UR11,turkin_komi_2015,
mDH,zyatʸ,,,,UR11,turkin_komi_2015,
fG,čoya-voka,,,,UR11,turkin_komi_2015,
fB,vok,,,,UR11,turkin_komi_2015,
fZ,čoy,,,,UR11,turkin_komi_2015,
fyB,ičötdžɩk vok,,,,UR11,turkin_komi_2015,
fyZ,ičötdžɩk čoy,,,,UR11,turkin_komi_2015,
fF,batʸ,,,,UR11,turkin_komi_2015,
fF,ay,,,,UR11,turkin_komi_2015,
fM,mam,,,,UR11,turkin_komi_2015,
fC,yɩlöm,,,,UR11,turkin_komi_2015,
fS,pi,,,,UR11,turkin_komi_2015,
fD,nɩv,,,,UR11,turkin_komi_2015,
fFF,ɩdžɩd ay,,,,UR11,turkin_komi_2015,
fFF,pölʸ,,,,UR11,turkin_komi_2015,
fFM,pöč,,,,UR11,turkin_komi_2015,
fFM,ɩdžɩd mam,,,,UR11,turkin_komi_2015,
