"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,,,,"",""
"mB","ve’ļ",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","477"
"mZ","sõzār",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","361"
"meB","",,,,,"",""
"myB","",,,,,"",""
"meZ","",,,,,"",""
"myZ","",,,,,"",""
"mP","va’nbizt",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mF","izā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","78"
"mF","tǭți",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","430"
"mM","jemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","88"
"mM","ǟma",,,,,"kettunen_livisches_1938; ul_livonian_institute_liv-ee-lv_nodate","515–516"
"mC","läpš",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","212"
"mS","pūoga",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","315"
"mD","tidār",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","417"
"mA","muinizva’nbi",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mPP","vanāva’nbizt",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mFF","vanāizā",,,,,"kettunen_livisches_1938","78"
"mFF","vanātǭți",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mFF","izāizā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","78"
"mFM","va'njemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mFM","vanǟma",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mMF","vanāizā",,,,,"kettunen_livisches_1938","78"
"mMF","vanātǭți",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mMF","jemāizā",,,,,"kettunen_livisches_1938","88"
"mMM","va'njemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mMM","vanǟma",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"mMM","jemājemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","88"
"mCC","lapsläpš",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","212"
"mSS","pūogapūoga",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","315"
"mSD","pūogatidār",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mDS","tidārpūoga",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mDD","tidārtidār",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mFB","sūrve’ļki",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","389"
"mFB","izā sūrve’ļki",,,,,"kettunen_livisches_1938","389"
"mFB","izāve’ļ",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mFZ","izā sušā",,,,,"kettunen_livisches_1938","387"
"mFZ","sūrsušā",,,,,"kettunen_livisches_1938","389"
"mMB","sūrve’ļki",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","389"
"mMB","jemā sūrve’ļki",,,,,"kettunen_livisches_1938","389"
"mMB","jemāve’ļ",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mMZ","jemā sušā",,,,,"kettunen_livisches_1938","387"
"mMZ","sūrsušā",,,,,"kettunen_livisches_1938","389"
"mFeB","",,,,,"",""
"mFyB","",,,,,"",""
"mFeZ","",,,,,"",""
"mFyZ","",,,,,"",""
"mMeZ","",,,,,"",""
"mMyZ","",,,,,"",""
"mMeB","",,,,,"",""
"mMyB","",,,,,"",""
"mBS","veļīpūoga, ve’ļpūoga",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","477"
"mBD","veļītidār",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mZS","sõzārpūoga",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","361"
"mZD","sõzārtidār",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","361"
"meBS","",,,,,"",""
"myBS","",,,,,"",""
"meBD","",,,,,"",""
"myBD","",,,,,"",""
"meZS","",,,,,"",""
"myZS","",,,,,"",""
"meZD","",,,,,"",""
"myZD","",,,,,"",""
"mFZD","",,,,,"",""
"mFBD","veļīläpš",,,,,"kettunen_livisches_1938","477"
"mMBD","veļīläpš",,,,,"kettunen_livisches_1938","477"
"mMZD","",,,,,"",""
"mFBS","veļīläpš",,,,,"kettunen_livisches_1938","477"
"mFZS","",,,,,"",""
"mMBS","veļīläpš",,,,,"kettunen_livisches_1938","477"
"mMZS","",,,,,"",""
"mFeBS","",,,,,"",""
"mFyBS","",,,,,"",""
"mFeZS","",,,,,"",""
"mFyZS","",,,,,"",""
"mFeBD","",,,,,"",""
"mFyBD","",,,,,"",""
"mFeZD","",,,,,"",""
"mFyZD","",,,,,"",""
"mMeBS","",,,,,"",""
"mMyBS","",,,,,"",""
"mMeZS","",,,,,"",""
"mMyZS","",,,,,"",""
"mMeBD","",,,,,"",""
"mMyBD","",,,,,"",""
"mMeZD","",,,,,"",""
"mMyZD","",,,,,"",""
"mFBeS","",,,,,"",""
"mFByS","",,,,,"",""
"mFZeS","",,,,,"",""
"mFZyS","",,,,,"",""
"mFBeD","",,,,,"",""
"mFByD","",,,,,"",""
"mFZeD","",,,,,"",""
"mFZyD","",,,,,"",""
"mMBeS","",,,,,"",""
"mMByS","",,,,,"",""
"mMZeS","",,,,,"",""
"mMZyS","",,,,,"",""
"mMBeD","",,,,,"",""
"mMByD","",,,,,"",""
"mMZeD","",,,,,"",""
"mMZyD","",,,,,"",""
"mE","a’bpūol",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mH","mīez",,,,,"kettunen_livisches_1938","223"
"mW","nai",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","241"
"mHF","mī’eizā",,,,,"kettunen_livisches_1938","223"
"mHM","mī’ejemā",,,,,"kettunen_livisches_1938","223"
"mWF","naizizā",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mWM","naizjemā",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"mBW","veļīnai",,,,,"kettunen_livisches_1938","477"
"mZH","sõzārmīez",,,,,"kettunen_livisches_1938","361"
"mWB","",,,,,"",""
"mWZ","",,,,,"",""
"mHB","",,,,,"",""
"mHZ","",,,,,"",""
"mco-W","",,,,,"",""
"mco-H","",,,,,"",""
"mFW(notM)","vȭrõzjemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","484"
"mMH(notF)","vȭrõzizā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","484"
"mMH(notF)","pūolizā",,,,,"kettunen_livisches_1938","78"
"mSW","mīņa",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","226"
"mSW","pūoganai",,,,,"kettunen_livisches_1938","315"
"mSW","mārš̆ša",,,,,"kettunen_livisches_1938","218"
"mSWM","",,,,,"",""
"mSWF","",,,,,"",""
"mDH","znūot",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","401"
"mDH","tidārmīez",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","471"
"mDH","väu mies",,,,,"kettunen_livisches_1938","509"
"mDHM","",,,,,"",""
"mDHF","",,,,,"",""
"mFZH","",,,,,"",""
"mFBW","",,,,,"",""
"mMZH","",,,,,"",""
"mMBW","",,,,,"",""
"fG","",,,,,"",""
"fB","ve’ļ",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","477"
"fZ","sõzār",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","361"
"feB","",,,,,"",""
"fyB","",,,,,"",""
"feZ","",,,,,"",""
"fyZ","",,,,,"",""
"fP","va’nbizt",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","469"
"fF","izā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","78"
"fF","tǭți",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","430"
"fM","jemā",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","88"
"fM","ǟma",,,,,"kettunen_livisches_1938; ul_livonian_institute_liv-ee-lv_nodate","515–516"
"fC","läpš",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","212"
"fS","pūoga",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","315"
"fD","tidār",,,,,"kettunen_livisches_1938;ul_livonian_institute_liv-ee-lv_nodate","417"
"fA","muinizva’nbi",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"fPP","vanāva’nbizt",,,,,"ul_livonian_institute_liv-ee-lv_nodate",""
"fFF","vanāizā",,,,,"kettunen_livisches_1938","78"
