"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","iza",,,"izai","UR7(46)","soviet_mari_research_institute__1966",""
"myB","shol'o",,,"sholjash","UR7(46)","soviet_mari_research_institute__1966",""
"meZ","shӱzhar",,,"","UR7(689)","soviet_mari_research_institute__1966",""
"myZ","aka",,,"","UR7(689)","soviet_mari_research_institute__1966",""
"mP","acha-ava",,,"","UR7(663)","soviet_mari_research_institute__1966",""
"mF","acha",,,"achai","UR7(444)","soviet_mari_research_institute__1966",""
"mM","ava",,,"","UR7(311)","soviet_mari_research_institute__1966",""
"mC","shochsho",,,"shochsho-kushsho","UR7(148)","soviet_mari_research_institute__1966","only in plural"
"mS","erge",,,"","UR7(741)","soviet_mari_research_institute__1966",""
"mD","ӱdyr",,,"","UR7(162)","soviet_mari_research_institute__1966",""
"mA","kugeze",,,"","UR7(565)","soviet_mari_research_institute__1966",""
"mFF","kocha",,,"kochai","UR7(142)","soviet_mari_research_institute__1966",""
"mFM","kova",,,"kovai","UR7(26)","soviet_mari_research_institute__1966",""
"mMM","kova",,,"","UR7(26)","soviet_mari_research_institute__1966",""
"mCC","unyka-vlak",,,"","UR7(72)","soviet_mari_research_institute__1966",""
"mSS","unyka",,,"","UR7(72)","soviet_mari_research_institute__1966",""
"mSD","unyka",,,"","UR7(72)","soviet_mari_research_institute__1966",""
"mDS","unyka",,,"","UR7(72)","soviet_mari_research_institute__1966",""
"mDD","unyka",,,"","UR7(72)","soviet_mari_research_institute__1966",""
"mFB","kugyza",,,"","UR7(167)","soviet_mari_research_institute__1966","source defines as 'uncle on father's side'"
"mFZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mMB","chӱchӱ",,,"","UR7(167)","soviet_mari_research_institute__1966","source defines as 'uncle on mother's side'"
"mMZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mBS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"mBD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"mZS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"mZD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"meBS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"myBS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"meBD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"myBD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"meZS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"myZS","ergyzhe",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"meZD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"myZD","ӱdyrzhö",,,"","UR7(499)","soviet_mari_research_institute__1966",""
"mFBeS","iza",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFByS","shol'o",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFZeS","iza",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFZyS","shol'o",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFBeD","aka",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFByD","shӱzhar",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFZeD","aka",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mFZyD","shӱzhar",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMBeS","iza",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMByS","shol'o",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMZeS","iza",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMZyS","shol'o",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMBeD","aka",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMByD","shӱzhar",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mMZeD","aka",,,"","UR7(140)","soviet_mari_research_institute__1966",""
"mW","vate",,,"","UR7(173)","soviet_mari_research_institute__1966",""
"mHF","on'o",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mHM","kugo",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mWF","on'o",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mWM","kugo",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mBW","sheshke",,,"","UR7(368)","soviet_mari_research_institute__1966","younger brother's wife"
"mBW","enga",,,"engai","UR7(368)","soviet_mari_research_institute__1966","older brother's wife"
"mWB","pörzyh",,,"","UR7(837)","soviet_mari_research_institute__1966",""
"mWZ","nudo",,,"","UR7(682)","soviet_mari_research_institute__1966",""
"mHB","pörzyh",,,"","UR7(141)","soviet_mari_research_institute__1966",""
"mHZ","nudo",,,"","UR7(222)","soviet_mari_research_institute__1966",""
"mFW(notM)","izava",,,"","UR7(311)","soviet_mari_research_institute__1966",""
"mMH(notF)","izacha",,,"","UR7(459)","soviet_mari_research_institute__1966",""
"mSW","sheshke",,,"","UR7(368)","soviet_mari_research_institute__1966",""
"mSWM","tulache",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mSWF","tular",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mDHM","tulache",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mDHF","tular",,,"","UR7(677)","soviet_mari_research_institute__1966",""
"mFBW","chӱchӱn'ӧ",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mMBW","chӱchӱn'ӧ",,,"","UR7(757)","soviet_mari_research_institute__1966",""
"mFeB","kugyza",,,"","UR7(167)","soviet_mari_research_institute__1966","Inferred; source defines as 'uncle on father's side'"
"mFyB","kugyza",,,"","UR7(167)","soviet_mari_research_institute__1966","Inferred; source defines as 'uncle on father's side'"
"mFeZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966","Inferred; NA"
"mFyZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966","Inferred; NA"
"mMeZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966","Inferred; NA"
"mMyZ","kunai",,,"","UR7(757)","soviet_mari_research_institute__1966","Inferred; NA"
"mMeB","chӱchӱ",,,"","UR7(167)","soviet_mari_research_institute__1966","Inferred; source defines as 'uncle on mother's side'"
"mMyB","chӱchӱ",,,"","UR7(167)","soviet_mari_research_institute__1966","Inferred; source defines as 'uncle on mother's side'"
"feB","iza",,,"izai","UR7(46)","soviet_mari_research_institute__1966",""
