parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,oɑr̃binɑččɑt,,,,UR12,jagau_northern_2015,
mB,viellyɑ,,,,UR12,jagau_northern_2015,
mZ,oɑbba,,,,UR12,jagau_northern_2015,
myB,nuor̃ɑt viellyɑ,,,,UR12,jagau_northern_2015,
myZ,nuor̃ɑt oɑbba,,,,UR12,jagau_northern_2015,
mF,ahčči,,,,UR12,jagau_northern_2015,
mM,eɑdni,,,,UR12,jagau_northern_2015,
mC,mɑŋisboɑhtti,,,,UR12,jagau_northern_2015,
mS,bar̃dni,,,,UR12,jagau_northern_2015,
mD,nieidɑ,,,,UR12,jagau_northern_2015,
mFF,addya,,,,UR12,jagau_northern_2015,
mFM,ahkku,,,,UR12,jagau_northern_2015,
mMF,addya,,,,UR12,jagau_northern_2015,
mMM,ahkku,,,,UR12,jagau_northern_2015,
mSS,addyut,,,,UR12,jagau_northern_2015,
mSS,ahkkut,,,,UR12,jagau_northern_2015,
mSD,addyut,,,,UR12,jagau_northern_2015,
mSD,ahkkut,,,,UR12,jagau_northern_2015,
mDS,addyut,,,,UR12,jagau_northern_2015,
mDS,ahkkut,,,,UR12,jagau_northern_2015,
mDD,addyut,,,,UR12,jagau_northern_2015,
mDD,ahkkut,,,,UR12,jagau_northern_2015,
mFB,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mFB,eɑhki,,,,UR12,jagau_northern_2015,
mFZ,siessa,,,,UR12,jagau_northern_2015,
mMB,eɑnu,,,,UR12,jagau_northern_2015,
mMZ,goɑski,,,,UR12,jagau_northern_2015,
mMZ,muoθθa,,,,UR12,jagau_northern_2015,
mBS,vielyɑbar̃dni,,,,UR12,jagau_northern_2015,
mBS,oɑppabar̃dni,,,,UR12,jagau_northern_2015,
mBD,vielyɑnieidɑ,,,,UR12,jagau_northern_2015,
mBD,oɑppanieidɑ,,,,UR12,jagau_northern_2015,
mZS,vielyɑbar̃dni,,,,UR12,jagau_northern_2015,
mZS,oɑppabar̃dni,,,,UR12,jagau_northern_2015,
mZD,vielyɑnieidɑ,,,,UR12,jagau_northern_2015,
mZD,oɑppanieidɑ,,,,UR12,jagau_northern_2015,
mFZD,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mFZD,vilbeɑlle,,,,UR12,jagau_northern_2015,
mFZD,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mFZD,eɑhki,,,,UR12,jagau_northern_2015,
mFZD,siessa,,,,UR12,jagau_northern_2015,
mFZD,muoθθa,,,,UR12,jagau_northern_2015,
mFZD,goɑski,,,,UR12,jagau_northern_2015,
mFZD,eɑnu,,,,UR12,jagau_northern_2015,
mFBD,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mFBD,vilbeɑlle,,,,UR12,jagau_northern_2015,
mFBD,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mFBD,eɑhki,,,,UR12,jagau_northern_2015,
mFBD,siessa,,,,UR12,jagau_northern_2015,
mFBD,muoθθa,,,,UR12,jagau_northern_2015,
mFBD,goɑski,,,,UR12,jagau_northern_2015,
mFBD,eɑnu,,,,UR12,jagau_northern_2015,
mMBD,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mMBD,vilbeɑlle,,,,UR12,jagau_northern_2015,
mMBD,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mMBD,eɑhki,,,,UR12,jagau_northern_2015,
mMBD,siessa,,,,UR12,jagau_northern_2015,
mMBD,muoθθa,,,,UR12,jagau_northern_2015,
mMBD,goɑski,,,,UR12,jagau_northern_2015,
mMBD,eɑnu,,,,UR12,jagau_northern_2015,
mMZD,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mMZD,vilbeɑlle,,,,UR12,jagau_northern_2015,
mMZD,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mMZD,eɑhki,,,,UR12,jagau_northern_2015,
mMZD,siessa,,,,UR12,jagau_northern_2015,
mMZD,muoθθa,,,,UR12,jagau_northern_2015,
mMZD,goɑski,,,,UR12,jagau_northern_2015,
mMZD,eɑnu,,,,UR12,jagau_northern_2015,
mFBS,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mFBS,vilbeɑlle,,,,UR12,jagau_northern_2015,
mFBS,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mFBS,eɑhki,,,,UR12,jagau_northern_2015,
mFBS,siessa,,,,UR12,jagau_northern_2015,
mFBS,muoθθa,,,,UR12,jagau_northern_2015,
mFBS,goɑski,,,,UR12,jagau_northern_2015,
mFBS,eɑnu,,,,UR12,jagau_northern_2015,
mFZS,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mFZS,vilbeɑlle,,,,UR12,jagau_northern_2015,
mFZS,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mFZS,eɑhki,,,,UR12,jagau_northern_2015,
mFZS,siessa,,,,UR12,jagau_northern_2015,
mFZS,muoθθa,,,,UR12,jagau_northern_2015,
mFZS,goɑski,,,,UR12,jagau_northern_2015,
mFZS,eɑnu,,,,UR12,jagau_northern_2015,
mMBS,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mMBS,vilbeɑlle,,,,UR12,jagau_northern_2015,
mMBS,čeɑhc̷i,,,,UR12,jagau_northern_2015,
mMBS,eɑhki,,,,UR12,jagau_northern_2015,
mMBS,siessa,,,,UR12,jagau_northern_2015,
mMBS,muoθθa,,,,UR12,jagau_northern_2015,
mMBS,goɑski,,,,UR12,jagau_northern_2015,
mMBS,eɑnu,,,,UR12,jagau_northern_2015,
mMZS,oɑmbeɑlli,,,,UR12,jagau_northern_2015,
mMZS,vilbeɑlle,,,,UR12,jagau_northern_2015,
mMZS,čeɑhc̷i,,,,UR12,jagau_northern_2015,
