parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,tɛtɨčʸalʸ tɩmnʸa,,,,UR9,gashilov_selkup_2015,
mG,tɛtɨčʸalʸ nenʸnʸa,,,,UR9,gashilov_selkup_2015,
mB,tɩmnʸa,,,,UR9,gashilov_selkup_2015,
mZ,nenʸnʸa,,,,UR9,gashilov_selkup_2015,
myB,kɨpa tɩmnʸa,,,,UR9,gashilov_selkup_2015,
myZ,kɨpa nenʸnʸa,,,,UR9,gashilov_selkup_2015,
mF,əsɨ,,,,UR9,gashilov_selkup_2015,
mM,əmɨ,,,,UR9,gashilov_selkup_2015,
mS,iya ~ iyatɨ,,,,UR9,gashilov_selkup_2015,
mD,nælʸa,,,,UR9,gashilov_selkup_2015,
mFF,ilʸčʸa,,,,UR9,gashilov_selkup_2015,
mFM,imɨlʸa,,,,UR9,gashilov_selkup_2015,
mMF,ilʸčʸa,,,,UR9,gashilov_selkup_2015,
mMM,imɨlʸa,,,,UR9,gashilov_selkup_2015,
mSS,kətsan,,,,UR9,gashilov_selkup_2015,
mSD,kətsan,,,,UR9,gashilov_selkup_2015,
mDS,kətsan,,,,UR9,gashilov_selkup_2015,
mDD,kətsan,,,,UR9,gashilov_selkup_2015,
mFB,tɩmnʸa,,,,UR9,gashilov_selkup_2015,
mFB,ilʸčʸa,,,,UR9,gashilov_selkup_2015,
mFZ,nenʸnʸa,,,,UR9,gashilov_selkup_2015,
mFZ,imɨlʸa,,,,UR9,gashilov_selkup_2015,
mMB,tɩtæ,,,,UR9,gashilov_selkup_2015,
mMB,ilʸčʸa,,,,UR9,gashilov_selkup_2015,
mMZ,onʸa,,,,UR9,gashilov_selkup_2015,
mMZ,imɨlʸa,,,,UR9,gashilov_selkup_2015,
mBS,kətsan,,,,UR9,gashilov_selkup_2015,
mBD,kətsan,,,,UR9,gashilov_selkup_2015,
mZS,kətsan,,,,UR9,gashilov_selkup_2015,
mZD,kətsan,,,,UR9,gashilov_selkup_2015,
mH,ir̃atɨ,,,,UR9,gashilov_selkup_2015,
mW,imatɨ,,,,UR9,gashilov_selkup_2015,
mHF,ḳənir̃a,,,,UR9,gashilov_selkup_2015,
mHM,imɨlʸalʸ ima,,,,UR9,gashilov_selkup_2015,
mWF,əsɨlʸir̃a,,,,UR9,gashilov_selkup_2015,
mWF,ilʸčʸa,,,,UR9,gashilov_selkup_2015,
mWF,ḳənir̃a,,,,UR9,gashilov_selkup_2015,
mWM,əmɨlʸima,,,,UR9,gashilov_selkup_2015,
mWM,imɨlʸa,,,,UR9,gashilov_selkup_2015,
mWM,imɨlʸalʸ ima,,,,UR9,gashilov_selkup_2015,
mSW,æmnæ,,,,UR9,gashilov_selkup_2015,
mSW,æmnæ,,,,UR9,gashilov_selkup_2015,
mDH,kər̃mæ,,,,UR9,gashilov_selkup_2015,
mDH,ḳənɨk,,,,UR9,gashilov_selkup_2015,
mDH,šʸelɨ,,,,UR9,gashilov_selkup_2015,
mDH,šʸelɨ,,,,UR9,gashilov_selkup_2015,
meB,tɩmnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
meZ,nenʸnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFeB,tɩmnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFeB,ilʸčʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFyB,tɩmnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFyB,ilʸčʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFeZ,nenʸnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFeZ,imɨlʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
mFyZ,nenʸnʸa,,,,UR9,gashilov_selkup_2015,Inferred; NA
