parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,ve|l'l',,,,UR1(47),zaitseva_novyi_2007,
mZ,sizar,,,,UR1(414),zaitseva_novyi_2007,
meB,veik,,,,UR1(47),zaitseva_novyi_2007,
myB,ve|l'l',,,,UR1(47),zaitseva_novyi_2007,
meZ,čižoi,,,,UR1(414),zaitseva_novyi_2007,
myZ,čikoi,,,,UR1(414),zaitseva_novyi_2007,
mP,kazvataj|ad,,,,UR1(397),zaitseva_novyi_2007,
mF,tat,,,,UR1(304),zaitseva_novyi_2007,
mM,mam,,,,UR1(228),zaitseva_novyi_2007,
mS,poig,,,,UR1(438),zaitseva_novyi_2007,
mD,tüt|är,,,,UR1(129),zaitseva_novyi_2007,
mA,ezitatad,,,,UR1(115),zaitseva_novyi_2007,
mFF,uk,,,dedoi,UR1(115),zaitseva_novyi_2007,
mFM,ak,,,baboi,UR1(28),zaitseva_novyi_2007,
mMF,uk,,,dedoi,UR1(115),zaitseva_novyi_2007,
mMM,ak,,,baboi,UR1(28),zaitseva_novyi_2007,
mSS,vunuk,,,,UR1(68),zaitseva_novyi_2007,
mSD,vunuk,,,,UR1(68),zaitseva_novyi_2007,
mDS,vunuk,,,,UR1(68),zaitseva_novyi_2007,
mDD,vunuk,,,,UR1(68),zaitseva_novyi_2007,
mFB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mFZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mMB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mMZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mFeB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mFyB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mFeZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mFyZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mMeZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mMyZ,tädi,,,,UR1(447),zaitseva_novyi_2007,
mMeB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mMyB,däd’,,,,UR1(133),zaitseva_novyi_2007,
mFZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFeBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFyBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFeZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFyZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFeBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFyBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFeZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFyZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMeBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMyBS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMeZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMyZS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mMeBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMyBD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMeZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mMyZD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFBeS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFByS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFZeS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFZyS,bratan,,,,UR1(114),zaitseva_novyi_2007,
mFBeD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFByD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
mFZeD,sestrii,,,,UR1(114),zaitseva_novyi_2007,
