"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","ṕɛb́is",,,,,"sorokina_eneckij_2009","334"
"mG","soko",,,,,"sorokina_eneckij_2009","397"
"mB","kasa",,,,,"sorokina_eneckij_2009","162"
"mB","kasa kasa",,,,,"sorokina_eneckij_2009","162"
"mZ","ne kasa",,,,,"sorokina_eneckij_2009","288"
"meB","ina",,,,,"sorokina_eneckij_2009","146"
"meB","aga kasa",,,,,"sorokina_slovar_2001","167"
"myB","ńab́i",,,,,"sorokina_eneckij_2009","294"
"myB","ṕɛb́i",,,,,"sorokina_eneckij_2009","334"
"myB","sooku",,,,,"sorokina_eneckij_2009","399"
"meZ","abaa",,,,,"sorokina_eneckij_2009","41"
"meZ","ńabaku",,,,,"sorokina_eneckij_2009","294"
"myZ","ne soku",,,,,"sorokina_slovar_2001","88"
"myZ","ṕɛb́i",,,,,"sorokina_eneckij_2009","334"
"mP","eexi-eśixi",,,,,"sorokina_slovar_2001","154"
"mF","eśi",,,,,"sorokina_slovar_2001","154"
"mM","ee",,,,,"sorokina_eneckij_2009","486"
"mC","ńe",,,,,"sorokina_eneckij_2009","266"
"mS","kasa ńe",,,,,"sorokina_eneckij_2009","162"
"mD","ne ńe",,,,,"sorokina_eneckij_2009","288"
"mA","",,,,,"",""
"mPP","",,,,,"",""
"mFF","dʹiśi",,,,,"sorokina_eneckij_2009","119"
"mFF","dʹiśiku",,,,,"sorokina_eneckij_2009","119"
"mFM","kađa",,,,,"sorokina_eneckij_2009","154"
"mMF","dʹiśi",,,,,"sorokina_eneckij_2009","119"
"mMF","dʹisiku",,,,,"sorokina_eneckij_2009","119"
"mMM","kađa",,,,,"sorokina_eneckij_2009","154"
"mCC","ńeɁ ńe",,,,,"sorokina_eneckij_2009","266"
"mSS","",,,,,"",""
"mSD","",,,,,"",""
"mDS","",,,,,"",""
"mDD","",,,,,"",""
"mFB","",,,,,"",""
"mFZ","",,,,,"",""
"mMB","",,,,,"",""
"mMZ","",,,,,"",""
"mFeB","",,,,,"",""
"mFyB","",,,,,"",""
"mFeZ","kađa",,,,,"sorokina_eneckij_2009","154"
"mFyZ","abaa",,,,,"sorokina_eneckij_2009","41"
"mMeZ","kađa",,,,,"sorokina_eneckij_2009","154"
"mMyZ","abaa",,,,,"sorokina_eneckij_2009","41"
"mMeB","",,,,,"",""
"mMyB","",,,,,"",""
"mBS","kasa ńe",,,,,"sorokina_eneckij_2009","162"
"mBD","",,,,,"",""
"mZS","kasa ńe",,,,,"sorokina_eneckij_2009","162"
"mZD","",,,,,"",""
"meBS","",,,,,"",""
"myBS","",,,,,"",""
"meBD","",,,,,"",""
"myBD","",,,,,"",""
"meZS","",,,,,"",""
"myZS","",,,,,"",""
"meZD","",,,,,"",""
"myZD","",,,,,"",""
"mFZD","",,,,,"",""
"mFBD","",,,,,"",""
"mMBD","",,,,,"",""
"mMZD","",,,,,"",""
"mFBS","",,,,,"",""
"mFZS","",,,,,"",""
"mMBS","",,,,,"",""
"mMZS","",,,,,"",""
"mFeBS","",,,,,"",""
"mFyBS","",,,,,"",""
"mFeZS","",,,,,"",""
"mFyZS","",,,,,"",""
"mFeBD","",,,,,"",""
"mFyBD","",,,,,"",""
"mFeZD","",,,,,"",""
"mFyZD","",,,,,"",""
"mMeBS","",,,,,"",""
"mMyBS","",,,,,"",""
"mMeZS","",,,,,"",""
"mMyZS","",,,,,"",""
"mMeBD","",,,,,"",""
"mMyBD","",,,,,"",""
"mMeZD","",,,,,"",""
"mMyZD","",,,,,"",""
"mFBeS","",,,,,"",""
"mFByS","",,,,,"",""
"mFZeS","",,,,,"",""
"mFZyS","",,,,,"",""
"mFBeD","",,,,,"",""
"mFByD","",,,,,"",""
"mFZeD","",,,,,"",""
"mFZyD","",,,,,"",""
"mMBeS","",,,,,"",""
"mMByS","",,,,,"",""
"mMZeS","",,,,,"",""
"mMZyS","",,,,,"",""
"mMBeD","",,,,,"",""
"mMByD","",,,,,"",""
"mMZeD","",,,,,"",""
"mMZyD","",,,,,"",""
"mE","nɛs",,,,,"sorokina_eneckij_2009","270"
"mH","buśi",,,,,"sorokina_eneckij_2009","86"
"mW","ḿenśi",,,,,"sorokina_eneckij_2009","231"
"mW","ne",,,,,"sorokina_eneckij_2009","288"
"mHF","kasa inboi",,,,,"sorokina_eneckij_2009","162"
"mHF","ne eśi",,,,,"sorokina_eneckij_2009","288"
"mHM","kađa",,,,,"sorokina_eneckij_2009","154"
"mHM","ne inboi",,,,,"sorokina_eneckij_2009","288"
"mWF","kasa inboi",,,,,"sorokina_eneckij_2009","162"
"mWF","ne eśi",,,,,"sorokina_eneckij_2009","288"
"mWM","kađa",,,,,"sorokina_eneckij_2009","154"
"mWM","ne inboi",,,,,"sorokina_eneckij_2009","288"
"mBW","",,,,,"",""
"myBW","mɛa",,,,,"sorokina_eneckij_2009","232"
"mZH","",,,,,"",""
"mWB","",,,,,"",""
"mWZ","",,,,,"",""
"mHB","",,,,,"",""
"mHZ","",,,,,"",""
"mco-W","",,,,,"",""
"mco-H","",,,,,"",""
"mFW(notM)","",,,,,"",""
"mMH(notF)","",,,,,"",""
"mSW","mɛa",,,,,"sorokina_eneckij_2009","232"
"mSWM","",,,,,"",""
"mSWF","",,,,,"",""
"mDH","b́i",,,,,"sorokina_eneckij_2009","66"
"mDHM","",,,,,"",""
"mDHF","",,,,,"",""
"mFZH","",,,,,"",""
"mFBW","",,,,,"",""
"mMZH","",,,,,"",""
"mMBW","",,,,,"",""
"fG","ṕɛb́is",,,,,"sorokina_eneckij_2009","334"
"fG","soko",,,,,"sorokina_eneckij_2009","397"
"fB","kasa",,,,,"sorokina_eneckij_2009","162"
"fB","kasa kasa",,,,,"sorokina_eneckij_2009","162"
"fZ","ne kasa",,,,,"sorokina_eneckij_2009","288"
