"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","vueʹbbež",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","337 "
"mB","villj",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","421 "
"mZ","vuäʹbb",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","338 "
"meB","",,,,,"",""
"myB","",,,,,"",""
"meZ","",,,,,"",""
"myZ","",,,,,"",""
"mP","puärraz",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","414 "
"mF","eʹčč",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","77 "
"mM","jeäʹnn",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","449 "
"mC","päärnaž",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","170 "
"mS","âʹlǧǧ",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","273 "
"mS","päʹrnn",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","273 "
"mD","nijdd",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","394 "
"mA","maaddârpuärraz",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","37 "
"mA","maaddârruåđ",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","37 "
"mA","maaddâreʹčč",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","36 "
"mA","maaddâräʹjj",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","36 "
"mA","maaddâräkk",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","37 "
"mPP","",,,,,"",""
"mFF","äʹjj",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","76 "
"mFM","äkk",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","77 "
"mMF","äʹjj",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","76 "
"mMM","äkk",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","77 "
"mMM","jieʹnnjeäʹnn",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","448 "
"mCC","äʹjjev",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","170 to their grandfather"
"mCC","pääʹrnpäärnaž",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","170 "
"mSS","pääʹrnpäʹrnn",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","274 "
"mSD","pääʹrn-nijdd",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","274 "
"mDS","niõđpäʹrnn",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","394 "
"mDD","niõđnijdd",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","394 "
"mFB","",,,,,"",""
"mFZ","sieʹss",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","397 "
"mMB","jään",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","34 "
"mMZ","",,,,,"",""
"mFeB","jieʹǩǩ",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","331 "
"mFyB","čieʹcc",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","331 "
"mFeZ","",,,,,"",""
"mFyZ","",,,,,"",""
"mMeZ","kuäʹsǩǩ",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","397 "
"mMyZ","mueʹđđ",,,,,"moshnikoff_suomi-koltansaame-sanakirjalaadd-saam_2021","397 "
"mMeB","",,,,,"",""
"mMyB","",,,,,"",""
"mBS","",,,,,"",""
