parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,paví-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=304
myB,čaqXá-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=309
meZ,pací-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=305
myZ,namí-ci,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2003
mF,múa,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=847
mM,pía,,,,UTO4(257),stubbs_uto-aztecan_2011,
mS,tua-ci,,,,UTO4(72),stubbs_uto-aztecan_2011,; cogid=139a
mD,páci,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2576
mD,patï-ci-ci,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2576
mFF,künúu-či,,,,UTO4(200),stubbs_uto-aztecan_2011,
mMF,togó-či,,,,UTO4(200),stubbs_uto-aztecan_2011,
mMM,kagu-či,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1050b
mMM,wəcii-ci,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1052
mFB,áa-či,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2436
mFZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=88a
mFeB,áa-či,,,,UTO4(381),stubbs_uto-aztecan_2011,Inferred; ; cogid=2436
mFyB,aa-ci,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2432
mFeZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,Inferred; ; cogid=88a
mFyZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,Inferred; ; cogid=88a
mE,piwá,,,,UTO4(227),stubbs_uto-aztecan_2011,
mW,piwá,,,,UTO4(227),stubbs_uto-aztecan_2011,
feB,paví-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=304
fyB,čaqXá-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=309
feZ,pací-ci,,,,UTO4(?),stubbs_uto-aztecan_2011,; cogid=305
fyZ,namí-ci,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2003
fF,múa,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=847
fM,pía,,,,UTO4(257),stubbs_uto-aztecan_2011,
fS,tua-ci,,,,UTO4(72),stubbs_uto-aztecan_2011,; cogid=139a
fD,páci,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2576
fD,patï-ci-ci,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2576
fFF,künúu-či,,,,UTO4(200),stubbs_uto-aztecan_2011,
fMF,togó-či,,,,UTO4(200),stubbs_uto-aztecan_2011,
fMM,kagu-či,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1050b
fMM,wəcii-ci,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1052
fFB,áa-či,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2436
fFZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=88a
fFeB,áa-či,,,,UTO4(381),stubbs_uto-aztecan_2011,Inferred; ; cogid=2436
fFyB,aa-ci,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2432
fFeZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,Inferred; ; cogid=88a
fFyZ,paá-ci,,,,UTO4(61),stubbs_uto-aztecan_2011,Inferred; ; cogid=88a
fE,piwá,,,,UTO4(227),stubbs_uto-aztecan_2011,
fH,piwá,,,,UTO4(227),stubbs_uto-aztecan_2011,
