parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,pa'čí,,,,UTO4(98),stubbs_uto-aztecan_2011,; cogid=305
myB,poní,,,,UTO4(99),stubbs_uto-aztecan_2011,; cogid=310.a
meZ,ko'cí,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2000
myZ,piní,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2001a
mF,no'nó,,,father of a male,UTO4(174),stubbs_uto-aztecan_2011,; cogid=851
mF,ma'má,,,woman's father,UTO4(174),stubbs_uto-aztecan_2011,; cogid=852
mM,ye'yé,,,,UTO4(257),stubbs_uto-aztecan_2011,
mC,kucitá,,,,UTO4(72),stubbs_uto-aztecan_2011,"son, daughter"
mC,ku'kucí,,,reduplicated form,UTO4(72),stubbs_uto-aztecan_2011,"son, daughter"
mC,taná,,,,UTO4(72),stubbs_uto-aztecan_2011,"child, little one; cogid=146"
mS,nolá,,,,UTO4(251),stubbs_uto-aztecan_2011,
mD,malá-la,,,,UTO4(72),stubbs_uto-aztecan_2011,absol. (mala-wá poss'd); cogid=140
mD,kuhtewé,,,,UTO4(402),stubbs_uto-aztecan_2011,"girl, daughter (dau is secondary meaning); cogid=2578"
mFF,wocí,,,,UTO4(200),stubbs_uto-aztecan_2011,
mFM,ka'ká,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1050a
mMF,papá,,,,UTO4(200),stubbs_uto-aztecan_2011,
mMM,su'sú,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1051
mFeB,kumú,,,,UTO4(381),stubbs_uto-aztecan_2011,"tio, sobrino, sobrina (hermano mayor del padre, hijo o hija del hermano menor de un hombre); cogid=2433"
mFeZ,soló,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=89
mFyZ,papói,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=88b
mMeZ,nehsá,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=87
mMyB,ta'téi,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2432
myBS,kumú,,,,UTO4(381),stubbs_uto-aztecan_2011,"tio, sobrino, sobrina (hermano mayor del padre, hijo o hija del hermano menor de un hombre); cogid=2433"
myBD,kumú,,,,UTO4(381),stubbs_uto-aztecan_2011,"tio, sobrino, sobrina (hermano mayor del padre, hijo o hija del hermano menor de un hombre); cogid=2433"
mW,upí,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2572a
mW,mu'kíra,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2582
mW,tehíma,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2585
mWM,wasí,,,,UTO4(299),stubbs_uto-aztecan_2011,; cogid=1789
mZH,ce'é,,,,UTO4(NA),stubbs_uto-aztecan_2011,"husband of older sister, vice versa; cogid=306"
mWZ,ce'é,,,,UTO4(NA),stubbs_uto-aztecan_2011,"husband of older sister, vice versa; cogid=306"
mWZ,tepó,,,,UTO4(327),stubbs_uto-aztecan_2011,"""sister-in-law""; cogid=2004"
mDH,mo'né,,,,UTO4(340),stubbs_uto-aztecan_2011,; cogid=2085
mTW,mahtací,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2430
mTW,muhté,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2430
feB,pa'čí,,,,UTO4(98),stubbs_uto-aztecan_2011,; cogid=305
fyB,poní,,,,UTO4(99),stubbs_uto-aztecan_2011,; cogid=310.a
feZ,ko'cí,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2000
fyZ,piní,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2001a
fF,no'nó,,,father of a male,UTO4(174),stubbs_uto-aztecan_2011,; cogid=851
fF,ma'má,,,woman's father,UTO4(174),stubbs_uto-aztecan_2011,; cogid=852
fM,ye'yé,,,,UTO4(257),stubbs_uto-aztecan_2011,
fC,kucitá,,,,UTO4(72),stubbs_uto-aztecan_2011,"son, daughter"
fC,ku'kucí,,,reduplicated form,UTO4(72),stubbs_uto-aztecan_2011,"son, daughter"
fC,taná,,,,UTO4(72),stubbs_uto-aztecan_2011,"child, little one; cogid=146"
fS,nolá,,,,UTO4(251),stubbs_uto-aztecan_2011,
fD,malá-la,,,,UTO4(72),stubbs_uto-aztecan_2011,absol. (mala-wá poss'd); cogid=140
fD,kuhtewé,,,,UTO4(402),stubbs_uto-aztecan_2011,"girl, daughter (dau is secondary meaning); cogid=2578"
fFF,wocí,,,,UTO4(200),stubbs_uto-aztecan_2011,
fFM,ka'ká,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1050a
fMF,papá,,,,UTO4(200),stubbs_uto-aztecan_2011,
fMM,su'sú,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1051
fFeB,kumú,,,,UTO4(381),stubbs_uto-aztecan_2011,"tio, sobrino, sobrina (hermano mayor del padre, hijo o hija del hermano menor de un hombre); cogid=2433"
fFeZ,soló,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=89
fFyZ,papói,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=88b
fMeZ,nehsá,,,,UTO4(61),stubbs_uto-aztecan_2011,; cogid=87
fMyB,ta'téi,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2432
fH,kuná,,,,UTO4(227),stubbs_uto-aztecan_2011,
fH,tehimá,,,,UTO4(402),stubbs_uto-aztecan_2011,; cogid=2585
fHM,wasí,,,,UTO4(299),stubbs_uto-aztecan_2011,; cogid=1789
fZH,ce'é,,,,UTO4(NA),stubbs_uto-aztecan_2011,"husband of older sister, vice versa; cogid=306"
fHZ,tepó,,,,UTO4(327),stubbs_uto-aztecan_2011,"""sister-in-law""; cogid=2004"
fDH,mo'né,,,,UTO4(340),stubbs_uto-aztecan_2011,; cogid=2085
fTW,mahtací,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2430
fTW,muhté,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2430
