parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
myB,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
myZ,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
mFBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
mMZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
mFBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
mMZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
mFeBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFyBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFeBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFyBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMeZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMyZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMeZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMyZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFBeS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFByS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFBeD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mFByD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMZeS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMZyS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMZeD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
mMZyD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fyB,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fyZ,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fFBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fMZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fFBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fMZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling or parallel cousin; cogid=2004
fFeBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFyBS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFeBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFyBD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMeZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMyZS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMeZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMyZD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFBeS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFByS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFBeD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fFByD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMZeS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMZyS,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMZeD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
fMZyD,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,Inferred; younger sibling or parallel cousin; cogid=2004
