parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,siwa,,,,UTO4(402),stubbs_uto-aztecan_2011,"""sister of a man""; cogid=2575a"
meB,paava,,,,UTO4(98),stubbs_uto-aztecan_2011,; cogid=304
myB,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling of person in one's clan of phratry of the same generation; cogid=2004
meZ,qööqa,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2000
myZ,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling of person in one's clan of phratry of the same generation; cogid=2004
myZ,siwa,,,,UTO4(402),stubbs_uto-aztecan_2011,younger sister of a man'; cogid=2575d
mF,na,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
mF,na'a,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
mF,taata,,,child speaking,UTO4(174),stubbs_uto-aztecan_2011,; cogid=850
mF,taa'ta,,,child speaking,UTO4(174),stubbs_uto-aztecan_2011,; cogid=850
mM,yï,,,,UTO4(257),stubbs_uto-aztecan_2011,
mM,i-ŋï,,,,UTO4(257),stubbs_uto-aztecan_2011,"""my mother"""
mC,ti,,,,UTO4(251),stubbs_uto-aztecan_2011,"child, offspring; cogid=1416b"
mD,maana,,,,UTO4(72),stubbs_uto-aztecan_2011,"daughter, adolescent dirl, woman who has never been married; cogid=140"
mFF,kwa('at),,,,UTO4(200),stubbs_uto-aztecan_2011,
mFM,so'o,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1051
mMF,kwa('at),,,,UTO4(200),stubbs_uto-aztecan_2011,
mMM,so'o,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1051
mSD,mööyi,,,,UTO4(299),stubbs_uto-aztecan_2011,granddaughter; cogid=1793
mDD,mööyi,,,,UTO4(299),stubbs_uto-aztecan_2011,granddaughter; cogid=1793
mFB,na,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
mFB,na'a,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
mFZ,kya,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1050a
mMB,taaha,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2432
mFeB,na,,,,UTO4(174),stubbs_uto-aztecan_2011,Inferred; ; cogid=848
mFeB,na'a,,,,UTO4(174),stubbs_uto-aztecan_2011,Inferred; ; cogid=848
mFyB,na,,,,UTO4(174),stubbs_uto-aztecan_2011,Inferred; ; cogid=848
mFyB,na'a,,,,UTO4(174),stubbs_uto-aztecan_2011,Inferred; ; cogid=848
mFeZ,kya,,,,UTO4(200),stubbs_uto-aztecan_2011,Inferred; ; cogid=1050a
mFyZ,kya,,,,UTO4(200),stubbs_uto-aztecan_2011,Inferred; ; cogid=1050a
mMeB,taaha,,,,UTO4(381),stubbs_uto-aztecan_2011,Inferred; ; cogid=2432
mMyB,taaha,,,,UTO4(381),stubbs_uto-aztecan_2011,Inferred; ; cogid=2432
mDH,mö'önaŋw,,,,UTO4(340),stubbs_uto-aztecan_2011,male in-law; cogid=2085
mDHF,mö'önaŋw,,,,UTO4(340),stubbs_uto-aztecan_2011,male in-law; cogid=2085
mTW,cööviwï,,,,UTO4(381),stubbs_uto-aztecan_2011,; cogid=2429
feB,paava,,,,UTO4(98),stubbs_uto-aztecan_2011,; cogid=304
fyB,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling of person in one's clan of phratry of the same generation; cogid=2004
feZ,qööqa,,,,UTO4(327),stubbs_uto-aztecan_2011,; cogid=2000
fyZ,*tïpko,,,,UTO4(327),stubbs_uto-aztecan_2011,younger sibling of person in one's clan of phratry of the same generation; cogid=2004
fF,na,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
fF,na'a,,,,UTO4(174),stubbs_uto-aztecan_2011,; cogid=848
fF,taata,,,child speaking,UTO4(174),stubbs_uto-aztecan_2011,; cogid=850
fF,taa'ta,,,child speaking,UTO4(174),stubbs_uto-aztecan_2011,; cogid=850
fM,yï,,,,UTO4(257),stubbs_uto-aztecan_2011,
fM,i-ŋï,,,,UTO4(257),stubbs_uto-aztecan_2011,"""my mother"""
fC,ti,,,,UTO4(251),stubbs_uto-aztecan_2011,"child, offspring; cogid=1416b"
fD,maana,,,,UTO4(72),stubbs_uto-aztecan_2011,"daughter, adolescent dirl, woman who has never been married; cogid=140"
fFF,kwa('at),,,,UTO4(200),stubbs_uto-aztecan_2011,
fFM,so'o,,,,UTO4(200),stubbs_uto-aztecan_2011,; cogid=1051
fMF,kwa('at),,,,UTO4(200),stubbs_uto-aztecan_2011,
