"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"fH","ton-un̤-än̤",,"female speaker's husband",,,"Morgan1871",
"mFF","tog-go",,"male speaker's father's father",,,"Morgan1871",
"fFF","tog-go",,"female speaker's father's father",,,"Morgan1871",
"mMF","tog-go",,"male speaker's mother's father",,,"Morgan1871",
"fMF","tog-go",,"female speaker's mother's father",,,"Morgan1871",
"mS","to-ätʼ-sin",,"male speaker's son",,,"Morgan1871",
"fS","to-ätʼ-sin",,"female speaker's son",,,"Morgan1871",
"fDH","to-ät-sin",,"female speaker's daughter's husband",,,"Morgan1871",
"fHF","tä-täʼ-wähe-ät-sin",,"female speaker's husband's father",,,"Morgan1871",
"mDH","tä-täʼ-wä-bä",,"male speaker's daughter's husband",,,"Morgan1871",
"mFeB","sin-ätʼ-sin",,"male speaker's father's older brother",,,"Morgan1871",
"mFyB","sin-ätʼ-sin",,"male speaker's father's younger brother",,,"Morgan1871",
"fFeB","sin-ätʼ-sin",,"female speaker's father's older brother",,,"Morgan1871",
"fFyB","sin-ätʼ-sin",,"female speaker's father's younger brother",,,"Morgan1871",
"myB","säʼ-hätsʼ-en",,"male speaker's younger brother",,,"Morgan1871",
"fyB","säʼ-häts-en",,"female speaker's younger brother",,,"Morgan1871",
"mM","pe-ǎn-e, peʼ-ǎt-sin",,"male speaker's mother",,,"Morgan1871",
"fM","pe-ǎn-e, peʼ-ǎt-sin",,"female speaker's mother",,,"Morgan1871",
"mMeZ","päʼ-tsin",,"male speaker's mother's older sister",,,"Morgan1871",
"mMyZ","päʼ-tsin",,"male speaker's mother's younger sister",,,"Morgan1871",
"fMeZ","päʼ-tsin",,"female speaker's mother's older sister",,,"Morgan1871",
"fMyZ","päʼ-tsin",,"female speaker's mother's younger sister",,,"Morgan1871",
"feZ","päʼ-chenʼ",,"female speaker's older sister",,,"Morgan1871",
"meB","pä-venʼ, pä-vet-sin",,"male speaker's older brother",,,"Morgan1871",
"feB","pä-venʼ",,"female speaker's older brother",,,"Morgan1871",
"mD","pä-chinʼ",,"male speaker's daughter",,,"Morgan1871",
"fD","pä-chinʼ",,"female speaker's daughter",,,"Morgan1871",
"meZ","pä-chenʼ",,"male speaker's older sister",,,"Morgan1871",
"feZS","nu-pweʼ-ät-sin",,"female speaker's older sister's son",,,"Morgan1871",
"fyZS","nu-pweʼ-ät-sin",,"female speaker's younger sister's son",,,"Morgan1871",
"feBS","no-pwuʼ-ät-sin",,"female speaker's older brother's son",,,"Morgan1871",
"fSS","nhit-sit-sin",,"female speaker's son's son",,,"Morgan1871",
"fDS","nhit-sit-sin",,"female speaker's daughter's son",,,"Morgan1871",
"fSD","nhit-sit-sin",,"female speaker's son's daughter",,,"Morgan1871",
"fDD","nhit-sit-sin",,"female speaker's daughter's daughter",,,"Morgan1871",
"myZ","nä-michʼ-en",,"male speaker'S younger sister",,,"Morgan1871",
"fyZ","nä-michʼ-en",,"female speaker's younger sister",,,"Morgan1871",
"mF","muʼ-än-e",,"male speaker's father",,,"Morgan1871",
"fF","muʼ-än-e",,"female speaker's father",,,"Morgan1871",
"mW","mä-mä-sä-gwä",,"male speaker's wife",,,"Morgan1871",
"mSS","kǔnʼ-ǔt-sin",,"male speaker's son's son",,,"Morgan1871",
"mDS","kǔnʼ-ǔt-sin",,"male speaker's daughter's son",,,"Morgan1871",
"meBS","kotʼ-sin",,"male speaker's older brother's son",,,"Morgan1871",
"meBD","kotʼ-sin",,"male speaker's older brother's daughter",,,"Morgan1871",
"feBD","kotʼ-sin",,"female speaker's older brother's daughter",,,"Morgan1871",
"mSD","kin-ǔt-sin",,"male speaker's son's daughter",,,"Morgan1871",
"mDD","kin-ǔt-sin",,"male speaker's daughter's daughter",,,"Morgan1871",
"fyBS","kä-gutʼ-sin",,"female speaker's younger brother's son",,,"Morgan1871",
"mFM","kä-go",,"male speaker's father's mother",,,"Morgan1871",
"mMM","kä-go",,"male speaker's mother's mother",,,"Morgan1871",
"fFM","kä-go",,"female speaker's father's mother",,,"Morgan1871",
"fMM","kä-go",,"female speaker's mother's mother",,,"Morgan1871",
"mSW","e-ät-sin",,"male speaker's son's wife",,,"Morgan1871",
"fSW","e-ät-sin",,"female speaker's son's wife",,,"Morgan1871",
"myBS","atʼ-sin",,"male speaker's younger brother's son",,,"Morgan1871",
"myBD","atʼ-sin",,"male speaker's younger brother's daughter",,,"Morgan1871",
"fyBD","atʼ-sin",,"female speaker's younger brother's daughter",,,"Morgan1871",
