"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","papi",,,,"UTO4(99)","stubbs_uto-aztecan_2011","; cogid=304"
"myB","tami",,,,"UTO4(99)","stubbs_uto-aztecan_2011","; cogid=308"
"meZ","paci",,,,"UTO4(NA)","stubbs_uto-aztecan_2011","; cogid=305"
"myZ","nammi",,,,"UTO4(327)","stubbs_uto-aztecan_2011","; cogid=2003"
"mF","appï",,,,"UTO4(174)","stubbs_uto-aztecan_2011","; cogid=846"
"mM","pia",,,,"UTO4(257)","stubbs_uto-aztecan_2011",""
"mM","pii",,,,"UTO4(257)","stubbs_uto-aztecan_2011",""
"mC","tua",,,,"UTO4(72)","stubbs_uto-aztecan_2011","son, child; cogid=139a"
"mS","tua",,,,"UTO4(72)","stubbs_uto-aztecan_2011","son, child; cogid=139a"
"mD","paitï''",,,,"UTO4(402)","stubbs_uto-aztecan_2011","; cogid=2576"
"mFF","kïnu",,,,"UTO4(200)","stubbs_uto-aztecan_2011",""
"mFM","kaku",,,,"UTO4(200)","stubbs_uto-aztecan_2011","; cogid=1050b"
"mMF","toko",,,,"UTO4(200)","stubbs_uto-aztecan_2011",""
"mMM","hucci",,,,"UTO4(200)","stubbs_uto-aztecan_2011","; cogid=1052"
"mFB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2436"
"mFB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2436"
"mFZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","; cogid=88a"
"mMB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2432"
"mFeB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"mFeB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"mFyB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"mFyB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"mFeZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","Inferred; ; cogid=88a"
"mFyZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","Inferred; ; cogid=88a"
"mMeB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2432"
"mMyB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2432"
"mDH","monappï",,,,"UTO4(340)","stubbs_uto-aztecan_2011","""It is curious that 'son-in-law' would be more pervasive throughout UA than 'son'""; cogid=2085"
"mTW","wawa",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2431"
"feB","papi",,,,"UTO4(99)","stubbs_uto-aztecan_2011","; cogid=304"
"fyB","tami",,,,"UTO4(99)","stubbs_uto-aztecan_2011","; cogid=308"
"feZ","paci",,,,"UTO4(NA)","stubbs_uto-aztecan_2011","; cogid=305"
"fyZ","nammi",,,,"UTO4(327)","stubbs_uto-aztecan_2011","; cogid=2003"
"fF","appï",,,,"UTO4(174)","stubbs_uto-aztecan_2011","; cogid=846"
"fM","pia",,,,"UTO4(257)","stubbs_uto-aztecan_2011",""
"fM","pii",,,,"UTO4(257)","stubbs_uto-aztecan_2011",""
"fC","tua",,,,"UTO4(72)","stubbs_uto-aztecan_2011","son, child; cogid=139a"
"fS","tua",,,,"UTO4(72)","stubbs_uto-aztecan_2011","son, child; cogid=139a"
"fD","paitï''",,,,"UTO4(402)","stubbs_uto-aztecan_2011","; cogid=2576"
"fFF","kïnu",,,,"UTO4(200)","stubbs_uto-aztecan_2011",""
"fFM","kaku",,,,"UTO4(200)","stubbs_uto-aztecan_2011","; cogid=1050b"
"fMF","toko",,,,"UTO4(200)","stubbs_uto-aztecan_2011",""
"fMM","hucci",,,,"UTO4(200)","stubbs_uto-aztecan_2011","; cogid=1052"
"fFB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2436"
"fFB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2436"
"fFZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","; cogid=88a"
"fMB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2432"
"fFeB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"fFeB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"fFyB","hai",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"fFyB","hee",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2436"
"fFeZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","Inferred; ; cogid=88a"
"fFyZ","paha",,,,"UTO4(61)","stubbs_uto-aztecan_2011","Inferred; ; cogid=88a"
"fMeB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2432"
"fMyB","ata",,,,"UTO4(381)","stubbs_uto-aztecan_2011","Inferred; ; cogid=2432"
"fH","kuhma",,,,"UTO4(227)","stubbs_uto-aztecan_2011",""
"fH","kuha",,,,"UTO4(227)","stubbs_uto-aztecan_2011",""
"fDH","monappï",,,,"UTO4(340)","stubbs_uto-aztecan_2011","""It is curious that 'son-in-law' would be more pervasive throughout UA than 'son'""; cogid=2085"
"fTW","wawa",,,,"UTO4(381)","stubbs_uto-aztecan_2011","; cogid=2431"
